company_name,mst,company_representative,address,href
CÔNG TY TNHH ELECTRIC TATTOO VIỆT NAM,0107743255,NGUYỄN ĐỨC HOÀNG ," Số nhà 10, ngách 5 ngõ 628, đường Hoàng Hoa Thám, Phường Bưởi, Quận Tây Hồ, Thành phố Hà Nội, Việt Nam",https://masothue.com/0107743255-cong-ty-tnhh-electric-tattoo-viet-nam
CÔNG TY TNHH PARK JUN BEAUTY LAB VIET NAM,0108585509,LÊ TRỌNG THIÊM," Tầng 1 Tòa nhà Keangnam Hanoi Landmark Tower, Khu E6, Khu đô thị mới Cầu Giấy, Phường Mễ Trì, Quận Nam Từ Liêm, Thành phố Hà Nội, Việt Nam",https://masothue.com/0108585509-cong-ty-tnhh-park-jun-beauty-lab-viet-nam
CÔNG TY TNHH DỊCH VỤ MASSAGE NGỌC ÁNH,3702659222,NGUYỄN THỊ ÁNH," Số 1/DC76/5 tổ 2, khu phố Hòa Lân 2, Phường Thuận Giao, Thành phố Thuận An, Tỉnh Bình Dương, Việt Nam",https://masothue.com/3702659222-cong-ty-tnhh-dich-vu-massage-ngoc-anh
CÔNG TY TNHH ĐẦU TƯ TM VÀ DV THỦY THANH,3301627054,NGUYỄN THỊ THU THỦY," Đường Lê Dõng, TDP 3, Thị Trấn Phú Lộc, Huyện Phú Lộc, Tỉnh Thừa Thiên Huế, Việt Nam",https://masothue.com/3301627054-cong-ty-tnhh-dau-tu-tm-va-dv-thuy-thanh
CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ SPA AN KHANH,2301027249,VŨ THỊ THANH HUYỀN," Số 123 đường Hồ Ngọc Lân, Khu Y Na 2, Phường Kinh Bắc, Thành phố Bắc Ninh, Tỉnh Bắc Ninh, Việt Nam",https://masothue.com/2301027249-cong-ty-tnhh-thuong-mai-va-dich-vu-spa-an-khanh
DOANH NGHIỆP TƯ NHÂN DỊCH VỤ MASSAGE THANH TRÀ,3702740314,VŨ KHẮC ĐỌN ," 480 Nguyễn Tri Phương, Khu Phố Bình Đường 1, Phường An Bình, Thành phố Dĩ An, Tỉnh Bình Dương, Việt Nam",https://masothue.com/3702740314-doanh-nghiep-tu-nhan-dich-vu-massage-thanh-tra
CÔNG TY TNHH SPA LAGEN,0401954395,ĐOÀN THỊ LINH GIANG," 413 Trần Hưng Đạo, Phường An Hải Tây, Quận Sơn Trà, Thành phố Đà Nẵng, Việt Nam",https://masothue.com/0401954395-cong-ty-tnhh-spa-lagen
CÔNG TY TNHH LÊ VÂN SPA,1702111337,LÊ THỊ ĐẸP," 79 Trần Hưng Đạo, khu phố 7, Thị Trấn Dương Đông, Huyện Phú Quốc, Tỉnh Kiên Giang, Việt Nam",https://masothue.com/1702111337-cong-ty-tnhh-le-van-spa
CÔNG TY TNHH DỊCH VỤ GET VIỆT NAM,0315623255,NGUYỄN THỊ LINH," 30 Đường số 30, Phường Bình Trị Đông B, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",https://masothue.com/0315623255-cong-ty-tnhh-dich-vu-get-viet-nam
CÔNG TY TNHH CHANH SẢ,0401971111,HOÀNG THỊ THU NGÂN," 111 Thanh Thủy, Phường Thanh Bình, Quận Hải Châu, Thành phố Đà Nẵng, Việt Nam",https://masothue.com/0401971111-cong-ty-tnhh-chanh-sa
CÔNG TY TNHH CHĂM SÓC MẸ VÀ BÉ NGUYỆT HÀ,0108722642,HOÀNG THỊ HÀ," Số 125 ngõ 102 đường Khuất Duy Tiến, Phường Nhân Chính, Quận Thanh Xuân, Thành phố Hà Nội, Việt Nam",https://masothue.com/0108722642-cong-ty-tnhh-cham-soc-me-va-be-nguyet-ha
CÔNG TY TNHH DỊCH VỤ QUEEN SPA,0315654768,DƯƠNG THỊ BÉ NGOẢN," Số 379-381, Đường Vành Đai Trong, Phường Bình Trị Đông B, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",https://masothue.com/0315654768-cong-ty-tnhh-dich-vu-queen-spa
CÔNG TY TNHH DỊCH VỤ MI MO SA,0315723242,NGUYỄN THỊ HIỀN," 135/37 Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",https://masothue.com/0315723242-cong-ty-tnhh-dich-vu-mi-mo-sa
CÔNG TY TNHH RELAXING SPA SAKURA,0108785787,NGÔ THỊ THẢO," Số 100 Phan Kế Bính, Phường Cống Vị, Quận Ba Đình, Thành phố Hà Nội, Việt Nam",https://masothue.com/0108785787-cong-ty-tnhh-relaxing-spa-sakura
CÔNG TY TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN THƯƠNG MẠI VÀ DỊCH VỤ GRACE BEAUTY,3301654298,ĐẶNG PHƯƠNG THẢO," 50 Đoàn Hữu Trưng, Phường Phước Vĩnh, Thành phố Huế, Tỉnh Thừa Thiên Huế, Việt Nam",https://masothue.com/3301654298-cong-ty-trach-nhiem-huu-han-mot-thanh-vien-thuong-mai-va-dich-vu-grace-beauty
CÔNG TY CỔ PHẦN CHĂM SÓC SỨC KHỎE & LÀM ĐẸP ƯU ĐÀM,0108858724,NGUYỄN THỊ THU HẰNG," Lô E1 khu Bồ Hỏa, Lương Văn Can, Phường Hà Cầu, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",https://masothue.com/0108858724-cong-ty-co-phan-cham-soc-suc-khoe-lam-dep-uu-dam
CÔNG TY TNHH THẨM MỸ VIỆN JULY PHAN,0315933105,PHAN THỊ THANH DUNG," 495 Huỳnh Văn Bánh, Phường 14, Quận Phú Nhuận, Thành phố Hồ Chí Minh, Việt Nam",https://masothue.com/0315933105-cong-ty-tnhh-tham-my-vien-july-phan
CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ SWEETHOME VIỆT NAM,0107535047,HÀ THỊ HẢI HÀ," P3 - N3, tập thể Cục Ô tô máy kéo, đường Bưởi, Phường Cống Vị, Quận Ba Đình, Thành phố Hà Nội, Việt Nam",https://masothue.com/0107535047-cong-ty-tnhh-thuong-mai-va-dich-vu-sweethome-viet-nam
CÔNG TY TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN HAN EM,0401783453,ĐÀO THỊ HUỆ," 80 Dương Tự Minh, Phường Phước Mỹ, Quận Sơn Trà, Thành phố Đà Nẵng, Việt Nam",https://masothue.com/0401783453-cong-ty-trach-nhiem-huu-han-mot-thanh-vien-han-em
DOANH NGHIỆP TƯ NHÂN MASSAGE THUẬN THUẬN LỢI,1101763112,NGUYỄN THỊ BÍCH LIỄU," Số 141, đường Nguyễn Minh Đường, Phường 4, Thành phố Tân An, Tỉnh Long An, Việt Nam",https://masothue.com/1101763112-doanh-nghiep-tu-nhan-massage-thuan-thuan-loi
DOANH NGHIỆP TƯ NHÂN HOA PHI YẾN,1701983871,CHU THỊ UYÊN," Số 67A đường Nguyễn Bỉnh Khiêm, Phường Vĩnh Thanh, Thành phố Rạch Giá, Tỉnh Kiên Giang, Việt Nam",https://masothue.com/1701983871-doanh-nghiep-tu-nhan-hoa-phi-yen
DOANH NGHIỆP TƯ NHÂN DỊCH VỤ DẠ THẢO,3301550179,LƯU THỊ THỦY," 39 Tùng Thiện Vương, Phường Vỹ Dạ, Thành phố Huế, Tỉnh Thừa Thiên Huế, Việt Nam",https://masothue.com/3301550179-doanh-nghiep-tu-nhan-dich-vu-da-thao
DOANH NGHIỆP TƯ NHÂN DỊCH VỤ MASSAGE SEN,0106364705,TẤT YẾN BÌNH," Số nhà 325 Giảng Võ, Phường Cát Linh, Quận Đống Đa, Thành phố Hà Nội, Việt Nam",https://masothue.com/0106364705-doanh-nghiep-tu-nhan-dich-vu-massage-sen
DOANH NGHIỆP TƯ NHÂN HỒNG HẢI HỮU,1101782122,XÔI XỔI QUAY," Đường Nguyễn Văn Tuôi, khu phố 6, Thị Trấn Bến Lức, Huyện Bến Lức, Tỉnh Long An, Việt Nam",https://masothue.com/1101782122-doanh-nghiep-tu-nhan-hong-hai-huu
DOANH NGHIỆP TƯ NHÂN LAN THƯỢNG,1702063651,TRƯƠNG VĂN MƯỜI," Tổ 1, Khu phố 10, Thị Trấn Dương Đông, Huyện Phú Quốc, Tỉnh Kiên Giang, Việt Nam",https://masothue.com/1702063651-doanh-nghiep-tu-nhan-lan-thuong
CHI NHÁNH DOANH NGHIỆP TƯ NHÂN KHÁCH SẠN KHOA ĐẠT,5800586914-001,NGUYỄN VĂN THẢO," Khu 3, Thị Trấn Lộc Thắng, Huyện Bảo Lâm, Tỉnh Lâm Đồng, Việt Nam",https://masothue.com/5800586914-001-chi-nhanh-doanh-nghiep-tu-nhan-khach-san-khoa-dat
DOANH NGHIỆP TƯ NHÂN TÙNG LÂM NHA TRANG,4201576954,VÕ THỊ BÍCH TRÂM," 94/12 Nguyễn Thị Minh Khai, Phường Phước Hòa, Thành phố Nha Trang, Tỉnh Khánh Hòa, Việt Nam",https://masothue.com/4201576954-doanh-nghiep-tu-nhan-tung-lam-nha-trang
DOANH NGHIỆP TN LÊ THANH TIỀN - CHI NHÁNH NHÃ MY,2000424242-003,LÊ THANH TUYỀN," Số 467, đường Nguyễn Trãi, Khóm 6, Phường 9, Thành phố Cà Mau, Tỉnh Cà Mau, Việt Nam",https://masothue.com/2000424242-003-doanh-nghiep-tn-le-thanh-tien-chi-nhanh-nha-my
CHI NHÁNH SÔNG HƯƠNG II,2000436086-001,NGUYỄN VĂN CƯỜNG," Số 148/B, đường Nguyễn Tất Thành, khóm 1, Phường 8, Thành phố Cà Mau, Tỉnh Cà Mau, Việt Nam",https://masothue.com/2000436086-001-chi-nhanh-song-huong-ii
CHI NHÁNH DOANH NGHIỆP TN XUẤT NHẬP KHẨU VÀ DỊCH VỤ MŨI NÉ,3401055770-001,ĐÀO HUY TOÀN," 54 An Dương Vương, Khu phố Ninh Chữ 2, Thị Trấn Khánh Hải, Huyện Ninh Hải, Tỉnh Ninh Thuận, Việt Nam",https://masothue.com/3401055770-001-chi-nhanh-doanh-nghiep-tn-xuat-nhap-khau-va-dich-vu-mui-ne
DOANH NGHIỆP TƯ NHÂN DỊCH VỤ TẮM HƠI - MASSAGE HOÀNG MAI,6300258681,TRÌNH THỊ KIM TUYẾN," Số 08, đường Lưu Hữu Phước, Khu vực 1, Phường I, Thành phố Vị Thanh, Tỉnh Hậu Giang, Việt Nam",https://masothue.com/6300258681-doanh-nghiep-tu-nhan-dich-vu-tam-hoi-massage-hoang-mai
DOANH NGHIỆP TƯ NHÂN DỊCH VỤ KỲ HÒA,3502325293,PHẠM THỊ LÝ," 30-32 Trần Phú, Phường 1, Thành phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu, Việt Nam",https://masothue.com/3502325293-doanh-nghiep-tu-nhan-dich-vu-ky-hoa
CHI NHÁNH DOANH NGHIỆP TƯ NHÂN NGỌC THI PHÚ QUỐC,1702049304-001,NGÔ VĂN HÙNG," Tổ 8, ấp Suối Lớn, Xã Dương Tơ, Huyện Phú Quốc, Tỉnh Kiên Giang, Việt Nam",https://masothue.com/1702049304-001-chi-nhanh-doanh-nghiep-tu-nhan-ngoc-thi-phu-quoc
DOANH NGHIỆP TƯ NHÂN DỊCH VỤ ỐC ĐẢO HẢI LONG,0106383306,TRẦN LONG VÂN," Số 161 Phố Xã Đàn, Phường Phương Liên, Quận Đống Đa, Thành phố Hà Nội, Việt Nam",https://masothue.com/0106383306-doanh-nghiep-tu-nhan-dich-vu-oc-dao-hai-long
CÔNG TY TNHH LOTUS LUXURY SPA,4201763376,GIANG PHƯỚC AN," Km 11, Đại lộ Nguyễn Tất Thành, Xã Cam Hải Đông, Huyện Cam Lâm, Tỉnh Khánh Hòa, Việt Nam",https://masothue.com/4201763376-cong-ty-tnhh-lotus-luxury-spa
CÔNG TY TNHH DỊCH VỤ ĐẢO MÂY,0105918446,VŨ SINH HOAN," Thôn Phương Quan, Xã Vân Côn, Huyện Hoài Đức, Thành phố Hà Nội, Việt Nam",https://masothue.com/0105918446-cong-ty-tnhh-dich-vu-dao-may
CÔNG TY TNHH MỘT THÀNH VIÊN PHƯỚC PHƯỚC NGUYÊN TÂN CHÂU,1601858041,HÀ HỮU PHƯỚC," Khóm Long An B, Phường Long Phú, Thị xã Tân Châu, Tỉnh An Giang, Việt Nam",https://masothue.com/1601858041-cong-ty-tnhh-mot-thanh-vien-phuoc-phuoc-nguyen-tan-chau
CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI KIM NGUYÊN VIỆT NAM,2300862494,NGUYỄN THỊ THANH HÒA," Số 02, đường Nguyễn Viết Xuân, Phường Ninh Xá, Thành phố Bắc Ninh, Tỉnh Bắc Ninh, Việt Nam",https://masothue.com/2300862494-cong-ty-tnhh-dau-tu-thuong-mai-kim-nguyen-viet-nam
DOANH NGHIỆP TƯ NHÂN MASSAGE HƯNG THỊNH PHÁT,3702465146,MAI MỶ PHƯƠNG," Số 9/8, Khu phố Bình Đường 2, Phường An Bình, Thành phố Dĩ An, Tỉnh Bình Dương, Việt Nam",https://masothue.com/3702465146-doanh-nghiep-tu-nhan-massage-hung-thinh-phat
CÔNG TY TNHH BODY WORK VIỆT NAM,3702304621,MASATSUGU ONO," Lô F27, tầng 1, Trung tâm mua sắm Aeon- Bình Dương Canary, Đại lộ Bình Dương, Phường Bình Hòa, Thành phố Thuận An, Tỉnh Bình Dương, Việt Nam",https://masothue.com/3702304621-cong-ty-tnhh-body-work-viet-nam
CHI NHÁNH HOÀNG GIA 1 - DOANH NGHIỆP TN MASSAGE THƯỢNG HẢI,3401016690-004,HỒ HOÀNG BẢO," 370 Thủ Khoa Huân, Phường Phú Thủy, Thành phố Phan Thiết, Tỉnh Bình Thuận, Việt Nam",https://masothue.com/3401016690-004-chi-nhanh-hoang-gia-1-doanh-nghiep-tn-massage-thuong-hai
CÔNG TY TNHH PHƯƠNG NAIL SPA,3401126855,LÝ UYÊN PHƯƠNG," 15 Nguyễn Đình Chiểu, Phường Hàm Tiến, Thành phố Phan Thiết, Tỉnh Bình Thuận, Việt Nam",https://masothue.com/3401126855-cong-ty-tnhh-phuong-nail-spa
CHI NHÁNH TẠI ĐÀ NẴNG - CÔNG TY TNHH KIM ANH BEAUTY CARE,0107432027-004,NGUYỄN VÕ HÙNG," Tầng 5, 115 Nguyễn Văn Linh, Phường Nam Dương, Quận Hải Châu, Thành phố Đà Nẵng, Việt Nam",https://masothue.com/0107432027-004-chi-nhanh-tai-da-nang-cong-ty-tnhh-kim-anh-beauty-care
CÔNG TY TNHH MASSAGE XÔNG HƠI SAO VIỆT,0313756404,MAI VĂN HÒA," 802 Phạm Văn Đồng, Khu Phố 5, Phường Hiệp Bình Chánh, Quận Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",https://masothue.com/0313756404-cong-ty-tnhh-massage-xong-hoi-sao-viet
CÔNG TY TNHH SNICE SPA,3603352409,TRỊNH THỊ UYÊN PHƯƠNG," 8/1 Quốc lộ 1A, KP 7, Phường Tân Hòa, Thành phố Biên Hoà, Tỉnh Đồng Nai, Việt Nam",https://masothue.com/3603352409-cong-ty-tnhh-snice-spa
