location,name
"161 Mai Hắc Đế, P. Lê Đại Hành, Q. Hai Bà Trưng, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"836-838 Minh Khai, P. Vĩnh Tuy, Q. Hai Bà Trưng, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"244 Minh Khai, P. Minh Khai, Q. Hai Bà Trưng, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"244 Minh Khai, P. Minh Khai, Q. Hai Bà Trưng, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"Chung cư Mipec Kiến Hưng, phường Kiến Hưng, quận Hà Đông, Hà Nội 
SĐT: 0377597795",Nhà thuốc Thuận An
"
 
",Nhà thuốc Long Châu
"Chung cư CT6 khu đô thị Văn Khê, phường La Khê, quận Hà Đông, Hà Nội 
SĐT: 02466545533 
Zalo: 081 225 6886",Nhà Thuốc Tuệ Minh – KDT Văn Khê
"Lô 64 khu giãn dân Mỗ Lao – Đối diện chợ Mỗ Lao, phường Mộ Lao, quận Hà Đông, Hà Nội",Nhà thuốc Thái Bình
"Số 13 Bà Triệu, phường Nguyễn Trãi, quận Hà Đông, Hà Nội 
SĐT: 024 33516410 
Zalo: 0859 33 55 99",Nhà Thuốc Tuệ Minh – Bà Triệu
"70 Lê Văn Hưu, P. Phạm Đình Hổ, Q. Hai Bà Trưng, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"112C-114 Trương Định, P. Trương Định, Q. Hai Bà Trưng, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"56 Kim Ngưu, P. Thanh Nhàn, Q. Hai Bà Trưng, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"Tổ Dân Phố 5, P. Yên Nghĩa, Q. Hà Đông, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"62 Phố Xốm, P. Phú Lãm, Q. Hà Đông, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"BT11-VT10, Khu Nhà Ở Xa La, P. Phúc La, Q. Hà Đông, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"Kiot 6, tòa CT3 Khu đô thị Xa La, phường Phúc La, quận Hà Đông, Hà Nội 
SĐT: 0377597795",Nhà thuốc Thuận An
"216 Quang Trung, P. Quang Trung, Q. Hà Đông, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"27-29 Vạn Phúc, P. Vạn Phúc, Q. Hà Đông, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"Số 430 Cầu Am, phường Vạn Phúc, quận Hà Đông, Hà Nội 
SĐT: 024 36856699 
Zalo: 0385 33 55 99",Nhà Thuốc Tuệ Minh – Vạn Phúc
"149-151 Trần Đăng Ninh, P. Dịch Vọng, Q. Cầu Giấy, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"149-151 Trần Đăng Ninh, P. Dịch Vọng, Q. Cầu Giấy, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"44 Trần Thái Tông, P. Dịch Vọng Hậu, Q. Cầu Giấy, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"Căn W201S08 – Vinhome west Point Phạm Hùng, phường Mễ Trì, quận Cầu Giấy, Hà Nội 
SĐT: 0988283415",Nhà thuốc Nhật Minh
"129 Lạc Long Quân, P. Nghĩa Đô, Q. Cầu Giấy, TP.Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"22 Nghĩa Tân, P. Nghĩa Tân, Q. Cầu Giấy, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"93 Hàng Mã, P. Hàng Mã, Q. Hoàn Kiếm, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"Kiot 10 toà D chung cư Vinaconex 2 Kim Văn Kim Lũ, phường Đại Kim, quận Hoàng Mai, Hà Nội 
SĐT: 0367318608",Nhà thuốc Trang Anh
"Số 245 Định Công, phường Định Công, quận Hoàng Mai, Hà Nội",Nhà thuốc Thái Bình
"78 Trịnh Đình Cửu, P. Định Công, Q. Hoàng Mai, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"HH2C Linh Đàm, phường Hoàng Liệt, quận Hoàng Mai, Hà Nội 
SĐT: 0382132881",Phòng khám bác sỹ Lương Thị Yến
"Tầng 1, Mặt sau tòa Zen B, Khu đô thị Gamuda garden",Nhà thuốc Nguyễn
"Số 114 Nguyễn Khuyến, phường Văn Quán, quận Hà Đông, Hà Nội 
SĐT: 0949481624 / 0912585086",Nhà thuốc Thái Bình
"Số 10 Ngõ 68/39 đường Cầu Giấy, phường Quan Hoa, quận Cầu Giấy, Hà Nội 
SĐT: 0856905886",Nhà Thuốc Thân Thiện
"Số 216 Trần Duy Hưng, phường Trung Hòa, quận Cầu Giấy, Hà Nội",Bệnh Viện Đa Khoa Quốc Tế Thu Cúc
"25 Trần Duy Hưng, P. Trung Hòa, Q. Cầu Giấy, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"18 Hàng Bông, P. Hàng Gai, Q. Hoàn Kiếm, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"39 Nguyễn Siêu, P. Hàng Buồm, Q. Hoàn Kiếm, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"38 Hàm Tử Quan, P. Chương Dương, Q. Hoàn Kiếm, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"
 
",Nhà thuốc Long Châu
"HH4C Linh Đàm, phường Hoàng Liệt, quận Hoàng Mai, Hà Nội 
SĐT: 024 23215599 
Zalo: 0386 33 55 99",Nhà Thuốc Tuệ Minh – Linh Đàm
"Tổ 10, P. Vĩnh Hưng, Q. Hoàng Mai, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"143 Nam Dư, P. Lĩnh Nam, Q. Hoàng Mai, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"38 Lĩnh Nam, P. Mai Động, Q. Hoàng Mai, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"300 Trương Định, P. Tương Mai, Q. Hoàng Mai, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"223 Yên Duyên, P. Yên Sở, Q. Hoàng Mai, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"153 Hồ Đắc Di, P. Quang Trung, Q. Đống Đa, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"330 Khâm Thiên, P. Thổ Quan, Q. Đống Đa, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"100 Khâm Thiên, P. Khâm Thiên, Q. Đống Đa, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"Số 32 Tôn Thất Tùng – đối diện cổng Bệnh viện Đại học Y Hà Nội, phường Khương Thượng, quận Đống Đa, Hà Nội 
SĐT: 0904958238",Nhà thuốc Long Tâm
"26/65 Phạm Ngọc Thạch, P. Kim Liên, Q. Đống Đa, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"Ngõ 80 Chùa Láng, phường Láng Thượng, quận Đống Đa, Hà Nội 
SĐT: 0963293923",Phòng khám dinh dưỡng Bác sỹ Đạt
"Số 20 ngõ 80 Chùa Láng, phường Láng Thượng, quận Đống Đa, Hà Nội 
SĐT: 0363716320",Nhà thuốc Mẹ và bé
"Cổng số 1 Bệnh viện Nhi Trung Ương, số 18/879 Đê La Thành, phường Láng Thượng, quận Đống Đa, Hà Nội 
SĐT: 02437755629",Nhà thuốc Minh Đức
"86 Cổ Nhuế, TDP Trù 1, P. Cổ Nhuế 2, Q. Bắc Từ Liêm, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"Tầng 1, lô số 07, tòa nhà A3, chung cư An Bình City, khu đô thị Thành phố Giao Lưu, phường Cổ Nhuế, quận Bắc Từ Liêm, Hà Nội 
SĐT: 0333941115",Nhà thuốc 365 CARE
"76 Kẻ Vẽ, P. Đông Ngạc, Q. Bắc Từ Liêm, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"Số 34 Ngõ 91 Cầu Diễn, phường Phúc Diễn, quận Bắc Từ Liêm, Hà Nội 
SĐT: 0976536894",Quầy thuốc Gia Đình
"354 Xuân Đỉnh, P. Xuân Đỉnh, Q. Bắc Từ Liêm, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"Số 286 Nguyễn Xiển, phường Hạ Đình, quận Thanh Xuân, Hà Nội 
SĐT: 0943020121",Nhà thuốc ECogreen
"220 – 222 Khương Đình, P. Hạ Đình, Q. Thanh Xuân, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"Số 278A Khương Trung, phường Khương Đình, quận Thanh Xuân, Hà Nội 
SĐT: 024 37373399 
Zalo: 0858 33 55 99",Nhà Thuốc Tuệ Minh
"274B Khương Trung, P. Khương Đình, Q. Thanh Xuân, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"Cổng Đê La Thành – Đối diện Quầy 2b bệnh viện Nhi Trung Ương, số 61E ngõ 879 Đê La Thành, phường Láng Thượng, quận Đống Đa, Hà Nội 
SĐT: 0396236262",Nhà thuốc Trọng Tấn Bảo Hân
"Số 12 Hoàng Cầu, phường Ô Chợ Dừa, quận Đống Đa, Hà Nội 
SĐT: 0904669971",Phòng khám dinh dưỡng VIAM
"242 Đê La Thành, P. Ô Chợ Dừa, Q. Đống Đa, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"63 Quốc Tử Giám, P. Quốc Tử Giám, Q. Đống Đa, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"111 Thái Thịnh, P. Thịnh Quang, Q. Đống Đa, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"111 Thái Thịnh, P. Thịnh Quang, Q. Đống Đa, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"124 Đường Láng, P. Thịnh Quang, Q. Đống Đa, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"106 Lê Trọng Tấn, P. Khương Mai, Q. Thanh Xuân, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"Số 225 Nguyễn Ngọc Nại, phường Khương Mai, quận Thanh Xuân, Hà Nội 
SĐT: 024 35655566 
Zalo: 0783 33 55 99",Nhà Thuốc Tuệ Minh
"72 Quan Nhân, P. Nhân Chính, Q. Thanh Xuân, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"46 Triều Khúc, P. Thanh Xuân Nam, Q. Thanh Xuân, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"Số 85 Vũ Trọng Phụng, phường Thanh Xuân Trung, quận Thanh Xuân, Hà Nội 
SĐT: 0949497394",Quầy thuốc 334
"Số 286 Thụy Khuê, phường Bưởi, quận Tây Hồ, Hà Nội",Nhà thuốc bệnh viện Đa Khoa Quốc Tế Thu Cúc
"587 Thuỵ Khuê, P. Bưởi, Q. Tây Hồ, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"188 Thụy Khuê, P. Thụy Khuê, Q. Tây Hồ, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"251V Thụy Khuê, P. Thụy Khuê, Q. Tây Hồ, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"20 Tứ Liên, P. Tứ Liên, Q. Tây Hồ, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"9 An Dương, P. Yên Phụ, Q. Tây Hồ, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"Khu tái định cư 182 Lê Lợi, P. Lê Lợi, TX. Sơn Tây, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"Thôn Nhông Nương Tụ, X. Phú Sơn, H. Ba Vì, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"Quốc lộ 32, Thôn Tân Phú Mỹ, X. Vật Lại, H. Ba Vì, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"Tổ Dân Phố Yên Sơn, TT. Chúc Sơn, H. Chương Mỹ, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"Số 146A, Tổ 7, TDP Tân Bình, TT. Xuân Mai, H. Chương Mỹ, TP. Hà Nội 
SĐT: 0979816369",Quầy thuốc Trường An
"Thôn Đạo Ngạn, X. Hợp Đồng, H. Chương Mỹ, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"130 Nguyễn Thái Học, TT. Phùng, H. Đan Phượng, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"130 Nguyễn Thái Học, TT. Phùng, H. Đan Phượng, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"104-106 Phan Xích, X. Tân Hội, H. Đan Phượng, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"Tổ 8, TT. Đông Anh, H. Đông Anh, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"29 Tổ 4, TT. Đông Anh, H. Đông Anh, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"Số 137 tổ 8, thị trấn Đông Anh, huyện Đông Anh, Hà Nội 
SĐT: 0975645115",NHÀ THUỐC HỒNG LIÊN
"Tổ 19, thị trấn Đông Anh, huyện Đông Anh, Hà Nội",Phòng khám Diệp Phong
"Thửa 75, TBD 7, Thôn Bầu, xã Kim Chung, huyện Đông Anh, Hà Nội 
SĐT: 0975469144",Nhà thuốc Bình Nguyên 01
"106-108 Ngô Xuân Quảng, TT. Châu Quỳ, H. Gia Lâm, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"218-220 Hà Huy Tập, TT. Yên Viên, H. Gia Lâm, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"161 Đa Tốn, X. Đa Tốn, H. Gia Lâm, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"120 Ỷ Lan, X. Phú Thị, H. Gia Lâm, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"Số 26 Hà Huy Tập, xã Yên Viên, huyện Gia Lâm, Hà Nội 
SĐT: 0375051510",Nhà Thuốc Đỗ Minh
"Thôn Bầu, X. Kim Chung, H. Đông Anh, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"Số 47 Đa Lộc, xã Kim Chung, huyện Đông Anh, Hà Nội 
SĐT: 0968998333",Phòng khám Nhi khoa VIETKIDS
"Thôn Cổ Điển, X. Hải Bối, H. Đông Anh, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"Xóm 2 Bắc, X. Kim Nỗ, H. Đông Anh, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"109 Khu Phố Vân Trì, X. Vân Nội, H. Đông Anh, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"Xóm Hồ, Thôn Yên Nhân, X. Tiền Phong, H. Mê Linh, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"Thôn 2, X. Thạch Đà, H. Mê Linh, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"1 Ngõ 5A Quang Minh, TT. Quang Minh, H. Mê Linh, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"Thôn 4 Hạ Lôi, X. Mê Linh, H. Mê Linh, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"Thôn Phú Vinh, X. An Khánh, H. Hoài Đức, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"106 Văn Minh, thôn Dậu 2, xã Di Trạch, huyện Hoài Đức , Hà Nội",Thế Giới Sữa Azmilk- Hà phương (0971073278/ 0337694131)
"161 Chiến Thắng, X. Dương Liễu, H. Hoài Đức, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"198 Đại Nghĩa, TT. Đại Nghĩa, H. Mỹ Đức, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"Thị trấn Phú Minh, Phú Xuyên, Hà Nội 
SĐT: BS Bình – 0904139364; BS – Chung 0912166124",Phòng khám Bình Chung
"251 Tiểu Khu Mỹ Lâm, TT. Phú Xuyên, H. Phú Xuyên, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"
 
",Nhà thuốc Long Châu
"Thôn Bái Xuyên, X. Minh Tân, H. Phú Xuyên, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"09 Phố Gạch, TT. Phúc Thọ, H. Phúc Thọ, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"Thôn Thuỵ Khuê, X. Sài Sơn, H. Quốc Oai, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"161 Chiến Thắng, X. Dương Liễu, H. Hoài Đức, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"Thôn Minh Hiệp 1, xã Minh Khai, huyện Hoài Đức, Hà Nội 
SĐT: 0362962865",Quầy thuốc Mai Phùng
"Ngã tư Sơn Đồng, X. Sơn Đồng, H. Hoài Đức, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"Khu 7 Quốc Lộ 32, TT. Trạm Trôi, H. Hoài Đức, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"Khu 7 Quốc Lộ 32, TT. Trạm Trôi, H. Hoài Đức, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"202-204 Xuân Phương, X. Vân Canh, H. Hoài Đức, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"Số 1, đường 2, xã Mai Đình, H. Sóc Sơn, TP. Hà Nội 
SĐT: 0374091306",Sữa Bỉm Hải Hà
"Xóm 6 Gốc đa thôn Đoài, xã Phú Minh, huyện Sóc Sơn, Hà Nội 
SĐT: 0974661786",Phòng khám nhi khoa Phú Minh
"1 Thanh Ninh, X. Tân Dân, H. Sóc Sơn, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"128 Tỉnh Lộ 419, TT. Liên Quan, H. Thạch Thất, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"Thôn Hòa Bình, X. Dị Nậu, H. Thạch Thất, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"Lô A7- A8, làng Vĩnh Lộc, xã Phùng Xá, huyện Thạch Thất, Hà Nội 
SĐT:0978763363",Shop Nhím Store
"Số 7 ngã tư Vác, xã Dân Hòa, huyện Thanh Oai, Hà Nội 
SĐT: 0376945524",Quầy thuốc Hương Giang
"230 Phan Trọng Tuệ, X. Tả Thanh Oai, H. Thanh Trì, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"Xóm 2, xã Vĩnh Quỳnh, huyện Thanh Trì, Hà Nội 
SĐT: 0339231864",Quầy thuốc Nguyên Anh
"Cụm 3, Thôn Quỳnh Đô, X. Vĩnh Quỳnh, H. Thanh Trì, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"180A Trần Phú, TT Thường Tín, Hà Nội (gần trường cấp 2 chuyên, cạnh cà phê Số Đỏ) 
SĐT: 0979492991",Thiên Đường Của Bé (Biển màu đỏ)
"166 Phố Tía, X. Tô Hiệu, H. Thường Tín, TP. Hà Nội 
SĐT: 18006928",Nhà thuốc Long Châu
"Số 60 Thanh Ấm, thị trấn Vân Đình, huyện Ứng Hòa, Hà Nội 
SĐT: 0912117700",Nhà thuốc Hồng Vân
"580 Cô Bắc, P. Cầu Ông Lãnh, Q. 1, TP. Hồ Chí Minh 
SĐT: 18006928",Nhà thuốc Long Châu
"160 Cô Giang, P. Cô Giang, Q. 1, TP. Hồ Chí Minh 
SĐT: 18006928",Nhà thuốc Long Châu
"160 Cô Giang, P. Cô Giang, Q. 1, TP. Hồ Chí Minh 
SĐT: 18006928",Nhà thuốc Long Châu
"36 Nguyễn Huy Tự, P. Đa Kao, Q. 1, TP. Hồ Chí Minh 
SĐT: 18006928",Nhà thuốc Long Châu
"
 
",Nhà thuốc Đức Huy
"223B Cống Quỳnh, P. Nguyễn Cư Trinh, Q. 1, TP. Hồ Chí Minh 
SĐT: 18006928",Nhà thuốc Long Châu
"422-424 Cách Mạng Tháng Tám, P. 11, Q. 3, TP. Hồ Chí Minh 
SĐT: 18006928",Nhà thuốc Long Châu
"174 Nguyễn Thiện Thuật, P. 3, Q. 3, TP. Hồ Chí Minh 
SĐT: 18006928",Nhà thuốc Long Châu
"375 Hai Bà Trưng, P. Võ Thị Sáu, Q. 3, TP. Hồ Chí Minh 
SĐT: 18006928",Nhà thuốc Long Châu
"379-381 Hai Bà Trưng, P. Võ Thị Sáu, Q. 3, TP. Hồ Chí Minh 
SĐT: 18006928",Nhà thuốc Long Châu
"379-381 Hai Bà Trưng, P. Võ Thị Sáu, Q. 3, TP. Hồ Chí Minh 
SĐT: 18006928",Nhà thuốc Long Châu
"409 Hai Bà Trưng, P. Võ Thị Sáu, Q. 3, TP. Hồ Chí Minh 
SĐT: 18006928",Nhà thuốc Long Châu
"545 Nguyễn Đình Chiểu, P. 2, Q. 3, TP. Hồ Chí Minh 
SĐT: 18006928",Nhà thuốc Long Châu
"305-307 Hoàng Diệu, P. 6, Q. 4, TP. Hồ Chí Minh 
SĐT: 18006928",Nhà thuốc Long Châu
"198O Xóm Chiếu, P. 14, Q. 4, TP. Hồ Chí Minh 
SĐT: 18006928",Nhà thuốc Long Châu
"198O Xóm Chiếu, P. 14, Q. 4, TP. Hồ Chí Minh 
SĐT: 18006928",Nhà thuốc Long Châu
"37D Thuận Kiều, P. 12, Q. 5, TP. Hồ Chí Minh 
SĐT: 18006928",Nhà thuốc Long Châu
"19 Bùi Hữu Nghĩa, P. 5, Q. 5, TP. Hồ Chí Minh 
SĐT: 18006928",Nhà thuốc Long Châu
"891 Nguyễn Trãi, P. 14, Q. 5, TP. Hồ Chí Minh 
SĐT: 18006928",Nhà thuốc Long Châu
"93 Huỳnh Mẫn Đạt, P. 7, Q. 5, TP. Hồ Chí Minh 
SĐT: 18006928",Nhà thuốc Long Châu
"196A,B Trần Bình Trọng, P. 4, Q. 5, TP. Hồ Chí Minh 
SĐT: 18006928",Nhà thuốc Long Châu
"08 Trần Chánh Chiếu, P. 14, Q. 5, TP. Hồ Chí Minh 
SĐT: 18006928",Nhà thuốc Long Châu
"512 Hồng Bàng, P. 12, Q. 6, TP. Hồ Chí Minh 
SĐT: 18006928",Nhà thuốc Long Châu
"49 Lô V, Cư Xá Phú Lâm, Lý Chiêu Hoàng, P. 10, Q. 6, TP. Hồ Chí Minh 
SĐT: 18006928",Nhà thuốc Long Châu
"14 Bình Phú, P. 11, Q. 6, TP. Hồ Chí Minh 
SĐT: 18006928",Nhà thuốc Long Châu
"249D Nguyễn Văn Luông, P. 11, Q. 6, TP. Hồ Chí Minh 
SĐT: 18006928",Nhà thuốc Long Châu
"234/1 Phạm Phú Thứ, P. 4, Q. 6, TP. Hồ Chí Minh 
SĐT: 18006928",Nhà thuốc Long Châu
