address,country,facebook,instagram,name,phone,pinterest,twitter,web
"Radisson Blu Hotel, Batumi ","Batumi, Georgia",,,"Anne Semonin Spa at Radisson Blu Hotel, Batumi",+995 577902220 ,,,https://www.radissonhotels.com/en-us/hotels/radisson-blu-batumi/fitness-wellness?cid=a%3Ase%20b%3Agmb%20c%3Aemea%20i%3Alocal%20e%3Ardb%20d%3Aeerut%20h%3AGEBUS1
"42/12-13 Moo 5, Rawai, Muang, Phuket 83130, Thailand","Phuket, Thailand",https://www.facebook.com/TheRachaPhuket/,https://www.instagram.com/theracha_phuket/,Anumba Spa,+66 76355018,https://za.pinterest.com/therachaphuket/,https://twitter.com/The_Racha,https://www.theracha.com/
"Angsana Corfu Resort & Spa, 11th km National Road Corfu to Benitses, Akra Punta, Corfu 49084 Greece","Corfu, Greece",https://www.facebook.com/angsanacorfuofficial,https://www.instagram.com/angsanacorfu/,Angsana Corfu Spa,+30 2661022900,,,https://www.angsana.com/greece/corfu/spa
"Rixos Premium Bodrum, Zeytinlikahve Mevki, Muğla, Bodrum, Turkey","Bodrum, Turkey",https://www.facebook.com/Rixospremiumbodrum,https://www.instagram.com/rixospremiumbodrum/?hl=en,Anjana Spa,+90 2523371122,,https://twitter.com/premiumbodrum,http://premiumbodrum.rixos.com/
"Avista Hideaway Phuket Patong - MGallery, 39/9 Muen Ngern Road, Pa Tong, Phuket, Thailand","Phuket, Thailand",http://facebook.com/avistahideawayphuket,https://www.instagram.com/avistahideawayphuket,Aqua Spa at Avista Hideaway Phuket Patong – MGallery,+66 76681681,,,https://www.avistahideawayphuketresort.com/phuket-spa-wellness/aqua-spa-in-phuket
"Hyatt Regency Aqaba Ayla, Marina Village, Aqaba, Jordan","Aqaba, Jordan",https://www.facebook.com/HyattRegencyAqaba/,https://www.instagram.com/hyatt_regency_aqaba_ayla/,Aqua Spa at Hyatt Regency Aqaba Ayla Resort,+962 32041234,,,https://www.hyatt.com/en-US/hotel/jordan/hyatt-regency-aqaba-ayla-resort/aqjra
"Level 2, 70D Mary Street, Brisbane, Australia","Brisbane, Australia",https://www.facebook.com/AquariusHealthSpa,https://www.instagram.com/aquarius_healthspa,Aquarius Health and Medispa,+61 730095111,,,https://aquariushealthmedispa.com.au/
Atlantica Mare Village Ayia Napa,"Ayia Napa, Cyprus",https://www.facebook.com/aegeospas.gr,https://www.instagram.com/aegeospas/,Aegeo Spas at Atlantica Mare Village Ayia Napa,+357 97910203,,,https://www.atlanticahotels.com/experiences/relax_pamper
"Atlantica Mare Village Paphos, Kissonergas Av, Kissonerga, Paphos, Cyprus","Paphos, Cyprus",https://www.facebook.com/aegeospas.gr,https://www.instagram.com/aegeospas/,Aegeo Spas at Atlantica Mare Village Paphos,+357 99735216,,,https://www.atlanticahotels.com/hotels-in-paphos/atlantica-mare-village-paphos?page=facilities
Atlantica Plimmiri,"Rhodes, Greece",https://www.facebook.com/aegeospas.gr,https://www.instagram.com/aegeospas/,Aegeo Spas at Atlantica Plimmiri Rhodes,+30 2244046076,,,https://www.atlanticahotels.com/experiences/relax_pamper
Electra Metropolis Athens,"Athens, Greece",https://www.facebook.com/aegeospas.gr,https://www.instagram.com/aegeospas/,Aegeo Spas at Electra Metropolis,+30 2103238405,,,https://www.electrahotels.gr/hotels/electra-metropolis-athens/wellness-fitness
"Electra Palace Thessaloniki, 9 Aristotelous Square, 54624","Thessaloniki, Greece",https://www.facebook.com/aegeospas.gr,https://www.instagram.com/aegeospas/,Aegeo Spas at Electra Palace,+30 2310232778,,,https://www.electrahotels.gr/hotels/electra-palace-thessaloniki/wellness-fitness/
Elysium Boutique Hotel,"Crete, Greece",https://www.facebook.com/aegeospas.gr,https://www.instagram.com/aegeospas/,Aegeo Spas at Elysium Boutique Hotel,+30 6985157164,,,http://www.elysium-beach.gr/spa/
"Almar Jesolo Resort & Spa, Via Dante Alighieri, 106, 30016 Lido di Jesolo VE","Venice, Italy",https://www.facebook.com/almarjesolo/,https://www.instagram.com/almarjesolo/#_ga=2.158686578.97317378.1563447382-335801122.1563447382,Almablu Wellness & Spa,+39 0421388103,https://za.pinterest.com/almarjesolo/#_ga=2.158686578.97317378.1563447382-335801122.1563447382,https://twitter.com/AlmarJesolo,http://www.almarjesolo.com/almablu-spa/
"Geigenbühelstrasse 185, Seefeld,Tirol, Austria","Seefeld, Austria",https://www.facebook.com/alpinresortsacher/,https://www.instagram.com/sacheralpinresort/,Alpin Aktiv Spa,+43 69914047349,,,https://seefeld.sacher.com/en/spa-active/
"36 Steenbuck Street, Skukuza, Kruger National Park, South Africa","Kruger National Park, South Africa",https://www.facebook.com/amspa.ZA,https://www.instagram.com/amspa_za/,AM Spa Kruger,+27 137441069,,https://twitter.com/amlodge_za,http://www.amspa.co.za/
"Portion 159 Fleur De Lys, Klaserie, Hoedspruit, ","Hoedspruit, South Africa",https://www.facebook.com/AMLodge,https://www.instagram.com/amspa_za/,AM Spa Hoedspruit,+27 158170182,,https://twitter.com/amlodge_za,http://www.amspa.co.za/
"Mara Bushtops Camp, Isaaten Conservancy, Masai Mara, Kenya","Masai Mara, Kenya",https://www.facebook.com/bushtops,http://instagram.com/bushtops,Amani African Spa Village at Mara Bushtops Camp,+254 733490209,http://www.pinterest.com/bushtops/,https://twitter.com/bushtops,https://bushtopscamps.com/mara/spa/
"33 Fricker Road, Illovo, Johannesburg, South Africa","Johannesburg, South Africa",https://www.facebook.com/AmaniSpaandWellness/,https://www.instagram.com/amanispas/?hl=en,Amani Spa & Wellness,+27 112682060,,,http://www.amanispas.co.za/
"Borgobrufa SPA Resort, Via Del Colle, 38, Brufa Di Torgiano, Perugia, Italy","Torgiano, Italy",https://www.facebook.com/borgobrufa,https://www.instagram.com/borgobrufa/?hl=fr,Borgobrufa SPA,+39 0759883,,,https://www.borgobrufa.it/en/spa/
"Tui Blue Elounda Village Resort & Spa by AQUILA, Elounda Crete, Greece","Crete, Greece",https://www.facebook.com/aegeospas.gr/,https://www.instagram.com/aegeospas/?hl=en,BLUE Spa by Aegeo Spas at Tui Blue Elounda Village by AQUILA,+30 2841044752,,,https://eloundavillage.com/spa-wellness.html
"Jalan Karambunai, Karambunai, 89200 Kota Kinabalu, Sabah, Malaysia","Kota Kinabalu, Malaysia",https://www.facebook.com/NexusResortSpaKarambunai/,,Borneo Spa at Nexus Resort & Spa Karambunai,+60 88480622,,,http://www.nexusresort.com
"Botanic Sanctuary Antwerp, Leopoldstraat 26, Antwerpen, Belgium","Antwerp, Belgium",https://www.facebook.com/BotanicSanctuaryAntwerp,https://www.instagram.com/botanicsanctuaryantwerp/,Botanic Health Spa,+32 32690010,,,https://www.botanicantwerp.be/botanic-health-spa-treatment-menu/
Brach Paris,"Paris, France",https://www.facebook.com/brachparis/,https://www.instagram.com/brachparis/,Brach Spa by Clarins,+33 158120303,,,https://brachparis.com/brach-le-spa/
"Boutique Hotel Corso, Stará Louka 460/38, Carlsbad, Czech Republic","Karlovy Vary, Czech Republic",https://www.facebook.com/BoutiqueHotelCorso/,https://www.instagram.com/boutiquehotelcorso/,Boutique Hotel Corso SPA,+420 353504111,,,https://www.corsohotel.com/spa-wellness
"InterContinental Melbourne the Rialto, 495 Collins Street, Melbourne, Australia","Melbourne, Australia",https://www.facebook.com/botanicaspa.au/,http://instagram.com/botanicaspa.au,Botanica Wellness Spa and Clinic,+61 396205992,,,https://www.botanicadayspa.com.au/
"InterContinental Malta, St. George's Bay, St. Julians","St Julian's, Malta",https://www.facebook.com/carismaspa,https://www.instagram.com/carismaspamalta/,Carisma Spa & Wellness,+356 23765524,,,https://www.carismaspa.com/
"Arima Grand Hotel Aqua Terrace & Spa, 1304-1 Arima-cho, Kita-ku, Kobe-shi, Hyogo 651-140","Kobe, Japan",https://www.facebook.com/arima.gh/,https://www.instagram.com/arima_grand_hotel/,CAAZE Organic Spa,+81 789040181,,,https://www.arima-gh.jp/facility/relaxation/#caaze
"Loc. Monastero D'Ombrone, 19, Castelnuovo Berardenga SI, Italy","Siena, Italy",https://www.facebook.com/CastelMonastero/,https://www.instagram.com/castelmonasteroretreatspa/,Castel Monastero Spa,+39 0577570885,,,https://www.castelmonastero.com/en/wellness-resort-tuscany
"JW Marriott Phu Quoc Emerald Bay, Kem Beach, An Thoi Town, Phu Quoc Ward, Kien Giang Province, Vietnam","Phu Quoc Island, Vietnam",https://www.facebook.com/JWMarriottPhuQuocEmeraldBay/,https://www.instagram.com/explore/locations/1087178004677852/jw-marriott-phu-quoc-emerald-bay-resort-spa/?hl=en,Chanterelle – Spa by JW,+84 2973779999,,https://twitter.com/jwphuquoc?lang=en,https://www.marriott.com/hotels/travel/pqcjw-jw-marriott-phu-quoc-emerald-bay-resort-and-spa/
"Chateau de Berne Hotel Spa Cellars, Chemin des Imberts, Flayosc, France","Flayosc, France",https://www.facebook.com/chateaudeberne/,https://www.instagram.com/chateaudeberne/,Château de Berne Spa,+33 494604980,,,https://www.chateauberne.com/en/spa/
"Shop 16 Narellan Town Centre, 2567, Narellan, Australia","Narellan, Australia",,,Beauty Base Laser & Dermal Clinic,+61 246478806,,,https://thebeautybase.com.au
"Shop 211 Narellan Town Centre, Narellan, Australia","Narellan, Australia",https://www.facebook.com/thebeautybase12,https://www.instagram.com/_thebeautybase/,Beauty Base Luxury Spa & Clinic,+61 246461832,,,https://thebeautybase.com.au
"Drafaki, Mykonos, Greece","Mykonos, Greece",https://www.facebook.com/BeautyworldDG/?ref=br_rs,https://www.instagram.com/beautyworld_mykonos/,Beautyworld by Despina Gavala,+30 6944574467,,,https://www.beautyworldbydg.gr/
"Jacksons Parade, 7 Mile, 111, Port Moresby, Papua New Guinea","Port Moresby, Papua New Guinea",https://www.facebook.com/pages/Airways-Hotel-Port-Moresby/70414713886,https://www.instagram.com/airwayshotel/,Bliss Spa,+675 3245200,,,https://www.airways.com.pg/
"143 Papanastasiou Avenue, Heraklion, Crete","Crete, Greece",https://www.facebook.com/aegeospas.gr,https://www.instagram.com/aegeospas/,Aegeo Spas,+30 2810263700,,,https://www.aegeospas.gr/
"Akti Imperial Deluxe Resort & Spa, Ialysos Avenue, 85101","Rhodes, Greece",https://www.facebook.com/aegeospas.gr,https://www.instagram.com/aegeospas/,Aegeo Spas at Akti Imperial Deluxe Resort & Spa,+30 2241079892,,,https://aktiimperial.gr/wellness-activities/#spa
"Atlantica Belvedere Resort, Giourniati Area, 85302","Kos, Greece",https://www.facebook.com/aegeospas.gr,https://www.instagram.com/aegeospas/,Aegeo Spas at Atlantica Belvedere Resort,+30 6985157364,,,https://www.atlanticahotels.com/experiences/relax_pamper
Atlantica Caldera Palace,"Crete, Greece",https://www.facebook.com/aegeospas.gr,https://www.instagram.com/aegeospas/,Aegeo Spas at Atlantica Caldera Palace,+30 698515730,,,https://www.atlanticahotels.com/experiences/relax_pamper
"Hotel Best Tenerife, Calle Antonio Dominguez Alfonso 6,  Playa de la Américas, Santa Cruz de Tenerife, Spain","Santa Cruz de Tenerife, Spain",https://www.facebook.com/spawellplus,https://www.instagram.com/spawellplus/,Best Tenerife Spa,+34 691398405,,,https://spawellplus.es/en/best-tenerife-spa/
"Atlantica Dreams Resort, Gennadi, 85109","Rhodes, Greece",https://www.facebook.com/aegeospas.gr,https://www.instagram.com/aegeospas/,Aegeo Spas at Atlantica Dreams Resort,+30 6985157191,,,https://www.atlanticahotels.com/experiences/relax_pamper
Atlantica Imperial Resort and Spa,"Rhodes, Greece",https://www.facebook.com/atlanticaimperialresort,https://www.instagram.com/explore/tags/atlanticaimperialresort/,Aegeo Spas at Atlantica Imperial Resort & Spa,+30 6985157112,,,https://www.atlanticahotels.com/hotels/Atlantica-Imperial-Resort-and-Spa?page=facilities
"Shangri-La Paris, 10 Avenue d'Iéna, Paris, France","Paris, France",https://www.facebook.com/shangrilaparis/,https://www.instagram.com/shangrilaparis/?hl=en,"Chi, The Spa at Shangri-La Paris",+33 153671978,,https://twitter.com/ShangriLaParis?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,http://www.shangri-la.com/paris/shangrila/health-leisure/chi-the-spa/
"Barrio Pastoral, La Fortuna, Alajuela Province, ","La Fortuna, Costa Rica",https://www.facebook.com/biosferaskincare,https://www.instagram.com/biosferaskincarecr/,Biosfera Skincare Costa Rica,+506 40022320 ,,,https://biosferaproducts.com/
"SLS Dubai Hotel & Residences, Marasi Drive, Business Bay, Dubai, United Arab Emirates","Dubai, United Arab Emirates",https://www.facebook.com/slsdubai/,https://www.instagram.com/cielspadubai/?hl=en,Ciel Spa Dubai,+971 46070654,,,https://www.sbe.com/hotels/sls-hotels/dubai
"3-2-1 Loisir Spa Tower Naha, Naha City,  Okinawa, Japan","Okinawa, Japan",https://www.facebook.com/LoisirHotelNaha/?__tn__=kCH-R&eid=ARB46pDJGv3LZ0aoXnxT1n2ZpP4SMmLf2FBo_QGY-3qjyDj5124VlXZSvlmwNG31vP7CkZfBb4g6DZko&hc_ref=ARTzzerCXS4fZWszS15nx8-_nkHDWYdAOddpKyPnRNSqpHGfX26FT9mM-3OzP4u-Yu8&fref=nf&__xts__[0]=68.ARBhub27fR5EQLU76aD92-VDYSLfz3jVwXax9GqNyk6sMQwsXEDDk4IAYErQ-S6PXsg25o8B4q4V4-A4OyuAO4FeoKkUJ7Kc56uLiRVR3VWIyOJ62LVsSLk4445kfI_sAX49TetJgeRBlTjxdsK-MksfV8EL7mgf-7malb_Z3Vxw7gM-sqP-VG6h5KA08qqOthzFMflT4y4fjHu6k_amRgPUHufxyku8c4_FAWlkrdr-LPyjeJZNF0fxHOLwv2lOdgFNfGKrRdQhlQE2V4x7Gc-99U7fRNBwfKOs3zDVKD_RAMwXZ6Xj9mTh21TZo0inrOyQpJbguKY4QP8HS74C0EPQmqlj7bBWAr-m5yEuFcklIcXhdsXnG0wy5st8zFcT--BiuW0bjKTy4RsVYijrntCsPLDvMoxHwKrNh5yprqGiroYVCG2yqB8ZfXqT-90hdpQMs0uU1vtTHZy8XK_VxadQezKqY7O1r5GfMOP51UxyyiVM9e0z0M9l,https://www.instagram.com/loisirhotel/,CHURASPA,+81 988682222,,,https://www.spatower.com/spa/#churaspa
"Clinique La Prairie, ","Clarens, Switzerland",https://www.facebook.com/cliniquelaprairie,https://www.instagram.com/cliniquelaprairie/,Clinique La Prairie,+41 219893311,,https://twitter.com/cliniqueprairie,https://cliniquelaprairie.com/
"199 Yangcheng Ring Rd, Yangcheng Island, Suzhou, China, 215000","Yangcheng Island, China",https://www.facebook.com/SanghaRetreat/,https://www.instagram.com/sangharetreatbyoctaveinstitute/?hl=en,AT ONE Healing Spa at SANGHA Retreat by OCTAVE Institute,+86 51267881666,,https://twitter.com/sangharetreat?lang=en,https://preferredhotels.com/hotels/china/sangha-retreat-octave-institute
"Conrad Osaka, 3-2-4 Nakanoshima, Kita-ku, Osaka, Japan","Osaka, Japan",https://www.facebook.com/conradosaka,https://www.instagram.com/conradosaka,Conrad Spa & Fitness at Conrad Osaka,+81 662220111,,,https://www.hilton.com/en/hotels/osacici-conrad-osaka/spa/
"The Athenee Hotel, a Luxury Collection Hotel, Bangkok, 61 Witthayu Road, Lumphini, Pathum Wan District, Bangkok, Thailand","Bangkok, Thailand",https://www.facebook.com/theatheneehotel,https://www.instagram.com/theatheneehotel/,Athenee Spa,+66 26508800 ,,,https://www.marriott.com/hotels/hotel-information/fitness-spa-services/details/bkkla-the-athenee-hotel-a-luxury-collection-hotel-bangkok/6056572/
Anemos Luxury Grand Resort,"Crete, Greece",https://www.facebook.com/aegeospas.gr,https://www.instagram.com/aegeospas/,Aura Spa & Wellness Center by Aegeo Spas at Anemos Luxury Grand Resort,30 2825061101,,,https://www.anemosresort.com/en-gb/spa
"Concorde De Luxe Resort, Kemerağzı Mahallesi, Yaşar Sobutay Bulvarı, 44 Lara Antalya, Turkey","Antalya, Turkey",https://www.facebook.com/concordedeluxe/,https://www.instagram.com/concordedeluxe/?hl=en,Concorde De Luxe Resort-Spa,+90 2423522626,,https://twitter.com/concordedlx,http://www.concordehotels.com.tr/en-us/hotels/concorde-de-luxe-resort/spa-wellness
"Atmosphere Resorts & Spa, Maayong Tubig, National Road, Dauin, Negros Oriental, Philippines","Dauin, Philippines",https://www.facebook.com/atmosphere.resorts/,https://www.instagram.com/atmosphereresorts/,Atmosphere Resorts & Spa – The Sanctuary Spa,+63 9177221042,,,https://www.atmosphereresorts.com/
"W Costa Rica - Reserva Conchal, Guanacaste Province, 50308, Costa Rica","Cabo Velas, Costa Rica",https://www.facebook.com/wcostarica,https://www.instagram.com/wcostarica,Away Spa – W Reserva Conchal,+506 26543600,,https://twitter.com/wreservaconchal,https://www.marriott.com/en-us/hotels/lirwh-w-costa-rica-reserva-conchal/overview/
"W Verbier, Rue de Médran 70, Verbier, Switzerland","Verbier, Switzerland",https://www.facebook.com/wverbier/,https://www.instagram.com/wverbier/?hl=en,AWAY Spa W Verbier,+41 274728890,,https://twitter.com/WVerbier,https://www.marriott.com/hotels/hotel-information/fitness-spa-services/details/gvawh-w-verbier/6035278/
"Warehouse 1, Jebel Ali Building, Al Quoz 3, Dubai","Dubai, United Arab Emirates",https://www.facebook.com/1847formen,https://www.instagram.com/1847formen/,1847 Executive Grooming For Men,+971 8001847 ,,,https://1847formen.com/
"Abadía Retuerta, Carretera Nacional 122, km. 332,5 Sardón de Duero, Valladolid, Spain","Sardón de Duero, Spain",https://www.facebook.com/AbadiaRetuertaLeDomaine/,https://www.instagram.com/abadiaretuerta_/,Abadía Retuerta Santuario Wellness & Spa,+34 983687600,,https://twitter.com/arledomaine,https://www.abadia-retuerta.com/en/en-hotel-spa-valladolid-ribera-del-duero
"Sinner Paris, 116 Rue du Temple, Paris, France","Paris, France",https://www.facebook.com/sinnerparis/,https://www.instagram.com/sinnerparis/?hl=en,Ablutio – Sinner Spa by la Colline,+33 142722000,,,https://sinnerparis.com/en/
"17 ROUTE DE KLINGNETHAL 67530,","Ottrott, France",,,6717 Nature Hôtel & Spa,+33 367686717,,,https://6717hotelspa.com/en/
Aegean Melathron Thalasso Spa Hotel,"Kallithea, Greece",https://www.facebook.com/aegeospas.gr,https://www.instagram.com/aegeospas/,AEGEAN SPA by Aegeo Spas at Aegean Melathron Thalasso Spa Hotel,+30 2374025407,,,https://www.aegeanmelathron.gr/en-gb/spa-hotel-halkidiki
"Grand Hyatt Athens, Leof. Andrea Syngrou 115, Athina 117 45, Greece","Athens, Greece",https://www.facebook.com/GrandHyattAthensHotel/,https://www.instagram.com/grandhyattathens/?hl=en,Aegeo Spa at Grand Hyatt Athens,+30 2144021234,,,https://www.hyatt.com/en-US/hotel/greece/grand-hyatt-athens/athgh
"W Guangzhou Hotel, 26 Xian Cun Road, Pearl River New Town, Tianhe District, Guangzhou, China","Guangzhou, China",https://www.facebook.com/WGuangzhou/,https://www.instagram.com/wguangzhou/?hl=en,AWAY® Spa at W Guangzhou,+86 2066807951,,,https://www.marriott.com/en-us/hotels/canwg-w-guangzhou/experiences/
"W Kuala Lumpur, No. 121, Jalan Ampang, Kuala Lumpur, Malaysia","Kuala Lumpur, Malaysia",https://www.facebook.com/WKualaLumpur,https://www.instagram.com/wkualalumpur/,AWAY® Spa at W Kuala Lumpur,+60 327868888,,https://twitter.com/W_KualaLumpur,https://www.marriott.com/hotels/travel/kulwh-w-kuala-lumpur/
"Villa La Valencia, Carretera Transpeninsular San José-San Lucas, Col. Lomas del tule, San José del Cabo, Baja California Sur, Mexico","Los Cabos, Mexico",https://www.facebook.com/VillaLaValencia/,https://www.instagram.com/villalavalencia/,Azul Wellness Spa Center,+52 6249800900 | Ext. 1170,,https://twitter.com/VillaLaValencia,http://villalavalencia.com/los-cabos-azul-wellnes-spa-center
"European Ayurveda Resort Mandira, Wagerberg 120, Bad Waltersdorf, Austria","Bad Waltersdorf, Austria",https://www.facebook.com/ayurvedaresortmandira/,,Ayurveda Resort Mandira,+43 33332801,,,https://www.mandira-ayurveda.at/en/
"Gran Hotel Roca Nivaria, Avenida Adeje 300, Playa Paraiso, Adeje, Tenerife Island, Spain","Santa Cruz de Tenerife, Spain",https://www.facebook.com/spawellplus,https://www.instagram.com/spawellplus/,Azules de Nivaria Spa,+34 662646510,,,https://spawellplus.es/en/azules-de-nivaria-spa/
"InterContinental Koh Samui Resort, 295 Moo 3, Koh Samui, Suratthani, Thailand","Koh Samui, Thailand",https://www.facebook.com/IntercontinentalSamui,https://instagram.com/intercontinentalsamui,"Baan Thai Spa by HARNN, InterContinental Samui",+66 77429100,,https://twitter.com/InterConSamui,https://samui.intercontinental.com/
"613 Main Road, Golden Point, Ballarat, Australia","Ballarat, Australia",,https://www.instagram.com/ballaratsanctuarydayspa/,Ballarat’s Sanctuary Day Spa,+61 353271296,,,http://www.ballaratsanctuary.com.au/
"Hotel H10 Atlantic Sunset, Av. Adeje 300, Santa Cruz de Tenerife, Spain","Santa Cruz de Tenerife, Spain",https://www.facebook.com/h10atlanticsunset,https://www.instagram.com/h10atlanticsunset/,Despacio Spa Atlantic Sunset,+34 922757435 Ext. 9988,,,https://www.mysauna.info/en/80-despacio-spa-centre-in-h10-atlantic-sunset
