company_name,product_owner,company_address,phone_number,fax,type,email,representative,landline_number,mst,product
CÔNG TY TNHH Y TẾ VINDRAY,,"Tầng 6, B3, B4, B5 Khu đấu giá QSD đất Vạn Phúc, Phường Vạn Phúc, Quận Hà Đông, Thành phố Hà Nội",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,vindraymed@gmail.com,Nguyễn Việt Dũng,0384203733,0110191131,Ống thông niệu quản
CÔNG TY TNHH CZ PHARMA,,"Số 19, ngõ 26 phố Nghĩa Đô, Phường Nghĩa Đô, Quận Cầu Giấy, Thành phố Hà Nội",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,europharma6.1@gmail.com,Lê Thị Thanh Tâm,02462542118,0108410957,Dung dịch bơm rửa ống tủy Endocyn 450
CÔNG TY TNHH TRANG THIẾT BỊ Y TẾ HƯNG PHÁT,,"D7/9, Quốc lộ 1A, Khu phố 4, Thị trấn Tân Túc, Huyện Bình Chánh, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,hungphatmedical@gmail.com,HUỲNH CHÍ QUỐC,0917337360,0307780776,"Ống thông tiểu (Latex, phủ 100% silicone)"
CÔNG TY CỔ PHẦN THIẾT BỊ Y TẾ TDM,,"Lô đất NV-C3 Khu đô thị mới Trung Hoà-Nhân Chính, phường Trung Hoà, quận Cầu Giấy, thành phố Hà Nội, Phường Trung Hoà, Quận Cầu Giấy, Thành phố Hà Nội",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,phongkinhdoanhtdm@gmail.com,Nguyễn Mạnh Tuấn,02463283932,0102377679,Vật tư dụng cụ phẫu thuật tiết niệu
CÔNG TY TNHH TRANG THIẾT BỊ Y TẾ HƯNG PHÁT,,"D7/9, Quốc lộ 1A, Khu phố 4, Thị trấn Tân Túc, Huyện Bình Chánh, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,hungphatmedical@gmail.com,HUỲNH CHÍ QUỐC,0917337360,0307780776,Dây thông nội khí quản
CÔNG TY CỔ PHẦN HASUKITO,,"7/10 Đỗ Nhuận, Phường Sơn Kỳ, Quận Tân Phú, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,info@hasukito.com.vn,Nguyễn Thị Kim Hòa,0905744321,0309533589,Kim tiêm dưới da dùng một lần (Sterile hypodermic needle for single use)
CÔNG TY TNHH XUẤT NHẬP KHẨU SYCO,,"572/19/20/8 Âu Cơ, Phường 10, Quận Tân Bình, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,hongminhplpharco@gmail.com,SỲ ANH TUẤN,0932660833,0308433951,Viên đặt phụ khoa Ladyfit
CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ Y VIỆT,,"90/18 Trần Văn Ơn, Phường Tân Sơn Nhì, Quận Tân Phú, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,technical4@yviet.com.vn,Phạm Tư,0983976169,0307954951,Đèn chiếu vàng da
CÔNG TY CỔ PHẦN HASUKITO,,"7/10 Đỗ Nhuận, Phường Sơn Kỳ, Quận Tân Phú, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,info@hasukito.com.vn,Nguyễn Thị Kim Hòa,0905744321,0309533589,Kim bướm dùng một lần (Scalp vein set for single use)
CÔNG TY TNHH THƯƠNG MẠI KỸ THUẬT Y TẾ VẠN XUÂN,,"319-C13 Khu TM Thuận Việt, Lý Thường Kiệt,, Phường 15, Quận 11, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,vanxuanmedilab@gmail.com,Phó Trí Phương,02838686109,0302485103,Hệ thống máy phân tích điện giải 
CÔNG TY TNHH NIPRO SALES VIỆT NAM,,"Phòng 15.06 và 15.07, Tầng 15, Toà nhà Viettel Complex, 285 Cách Mạng Tháng 8, Phường 12, Quận 10, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,kieu@niprosales.com.vn,PHẠM NGUYỄN NHƯ Ý,0908260405,0316947580,Kim luồn chạy thận nhân tạo
CÔNG TY TNHH TAEYEON MEDICAL VIỆT NAM,,"Tầng 7 nhà số 6, Khu A1-2, Khu đấu giá quyền sử dụng đất, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Thành phố Hà Nội",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,Taeyeonmedicalvina@gmail.com,Choi Gil Woon,02432007921,0106938283,Kim chọc dò cuống sống
CÔNG TY TNHH ĐIỆN TỬ Y TẾ HASAKY,,"Số 8, Phố Vương Thừa Vũ, Phường Khương Trung, Quận Thanh Xuân, Thành phố Hà Nội",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,phongtonghop@hasaky.com,Nguyễn Thanh Bình,0913377288,0101505543,Holter huyết áp
CÔNG TY CỔ PHẦN DƯỢC PHẨM VÀ THIẾT BỊ Y TẾ TRẦN GIA,,"110 Cao Thắng, Phường 04, Quận 3, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,tbyttrangia@gmail.com,TRẦN VĂN NAM,0896892222,0317225820,Dung dịch nhỏ mắt
CÔNG TY TNHH NOMA MEDICAL,,"R1-96 Bùi Bằng Đoàn, Khu Hưng Gia 2(R23), Phường Tân Phong, Quận 7, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,hoadondt.noma@gmail.com,LEE JOONGHEE,0888088414,0317229769,Thiết bị điều trị da bằng sóng siêu âm
CÔNG TY CỔ PHẦN ĐẦU TƯ THIẾT BỊ Y TẾ TRƯỜNG THỊNH,,"Nhà 7C, ngõ 41 đường Bùi Xương Trạch, Phường Khương Đình, Quận Thanh Xuân, Thành phố Hà Nội",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,admin@truongthinhmedical.com.vn,Nguyễn Xuân Trường,0945295739,0109985997,Máy siêu âm
CÔNG TY CỔ PHẦN THƯƠNG MẠI CÔNG NGHỆ PHƯƠNG QUANG,,"1020 Quang Trung, Phường 8, Quận Gò Vấp, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,pqmedtech@gmail.com,BÙI XUÂN TIỆP,0983983225,0310688308,Ống mở khí quản
CÔNG TY CỔ PHẦN THƯƠNG MẠI CÔNG NGHỆ PHƯƠNG QUANG,,"1020 Quang Trung, Phường 8, Quận Gò Vấp, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,pqmedtech@gmail.com,BÙI XUÂN TIỆP,0983983225,0310688308,Ống nội phế quản (nội khí quản 2 nòng)
CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI DỊCH VỤ ĐOÀN THIÊN PHÁT,,"Số 43, đường số 17, Phường Hiệp Bình Phước, Thành phố Thủ Đức, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,huongtht@doanthienphatdtp.com,Nguyễn Ngọc Đoàn,0907669040,0312745840,Ngõ ra khí y tế
CÔNG TY TNHH Y TẾ KỸ THUẬT CAO TOÀN CẦU,,"LK8-19, Đường D1, Saigon Mystery Villas, Phường Bình Trưng Tây, Thành phố Thủ Đức, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,info@ghm.com.vn,TRẦN THỊ MINH TUYẾT,0987000606,0317873606,Dụng cụ cầm máu
VĂN PHÒNG ĐẠI DIỆN RECKITT BENCKISER (THAILAND) LIMITED TẠI THÀNH PHỐ HỒ CHÍ MINH,,"Phòng 402, lầu 4, số 235, đường Đồng Khởi, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,hien.lethicanh@reckitt.com,Nguyễn Thanh Bình,0975639838,0312910903,Gel bôi trơn
CÔNG TY CỔ PHẦN PHÁT TRIỂN THƯƠNG MẠI MEKONG VIỆT NAM,,"A20/21B Quốc lộ 50, Xã Bình Hưng, Huyện Bình Chánh, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,voquangphuc@hotmail.com,VÕ QUANG PHÚC,0888448866,0312151861,Gel hỗ trợ giảm trào ngược dạ dày
CÔNG TY TNHH GIẢI PHÁP Y SINH ABT- CHI NHÁNH LONG HẬU,,"Nhà xưởng 6.07 và 5.02, Lô L2, đường Long Hậu - Hiệp Phước, KCN Long Hậu, Ấp 3,, Xã Long Hậu, Huyện Cần Giuộc, Tỉnh Long An",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,nguyentung@abt-vn.net,Nguyễn Văn Tùng,02866826652,0315562387-001,Bộ hóa chất xét nghiệm định lượng RNA Virus  
CÔNG TY TNHH SG PHARMA,,"Số 55 đường S9, Phường Tây Thạnh, Quận Tân Phú, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,ketoan.sgpharma@gmail.com,Đinh Ngọc Quang,0913866045,0313110385,DUNG DỊCH SÁT KHUẨN NGOÀI DA WELLCARE 4%
CÔNG TY TNHH SG PHARMA,,"Số 55 đường S9, Phường Tây Thạnh, Quận Tân Phú, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,ketoan.sgpharma@gmail.com,Đinh Ngọc Quang,0913866045,0313110385,DUNG DỊCH SÁT KHUẨN NGOÀI DA AQUADINE
VPĐD KARL STORZ SE & CO. KG TẠI TP.HCM,,"Phòng 1402, lầu 14, 39 Lê Duẩn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,ngan.nguyen@karlstorz.com,NGUYỄN TRẦN KHÁNH NGÂN,+84 28 38 238 038,0304646765,Dụng cụ tưới hút trong phẫu thuật nội soi
CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ VMED,,"89 đường A4, Phường 12, Quận Tân Bình, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,admin@vmedco.vn,Tống Thị Tho,02862692466,0313134964,Nồi hấp tiệt trùng
CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ KỸ THUẬT KHÁNH VÂN,,"41/2 Liên khu 2-5, Phường Bình Trị Đông, Quận Bình Tân, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,khanhvan_12211988@outlook.com,NGUYỄN VŨ ỨNG,024772745251,0317470967,IVD nhuộm tế bào dùng cho máy phân tích huyết học
CÔNG TY TNHH TRANG THIẾT BỊ Y TẾ - KHOA HỌC KỸ THUẬT VIỆT TÂN,,"133, Đường số 3, Cư xá Lữ Gia, Phường 15, Quận 11, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,anhthu@viettanmed.com,Nguyễn Nguyệt Ánh,02838645515,0304185031,Máy xông khí dung
CÔNG TY TNHH SONOVA VIỆT NAM,,"Phòng 306, Lầu 3, Tòa nhà Cityview, Số 12 Mạc Đĩnh Chi, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,ThiPhuongPhuc.Nguyen@sonova.com,PATRICK RAPHAEL PERLER,02838329335,0312213123,Máy trợ thính ngoài tai
CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ KỸ THUẬT KHÁNH VÂN,,"41/2 Liên khu 2-5, Phường Bình Trị Đông, Quận Bình Tân, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,khanhvan_12211988@outlook.com,NGUYỄN VŨ ỨNG,024772745251,0317470967,IVD ly giải tế bào dùng cho máy phân tích huyết học
CÔNG TY TNHH ROHTO-MENTHOLATUM (VIỆT NAM),,"Số 16 VSIP, Đường số 5, KCN Việt Nam-Singapore, Phường Bình Hòa, Thành Phố Thuận An, Tỉnh Bình Dương",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,thuyhang@rohto.com.vn,MASAYA SAITO,02838229322,3700239769,Dung dịch nhỏ mắt
CÔNG TY TNHH THIẾT BỊ Y TẾ TRƯỜNG TÍN,,"19P Nguyễn Thị Tần, phường 2, quận 8, TP.  Hồ Chí Minh, Phường 02, Quận 8, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,truongtin@truongtinyte.com.vn,Võ Xuân Trường,0903649539,0304978062,DAO MỔ TIỆT TRÙNG các số
CÔNG TY TNHH WELL LEAD MEDICAL VIỆT NAM,,"D19/46K Tổ 19 Ấp 4, Xã Vĩnh Lộc B, Huyện Bình Chánh, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,wellead.vietnam@gmail.com,NGUYỄN ANH NGỌC,0908686603,0317693787,Bộ mở bàng quang qua da
CÔNG TY TNHH DYNAMED,,"C9/3 Lê Văn Việt, khu phố 2, Phường Tăng Nhơn Phú A, Thành phố Thủ Đức, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,info@dynamed.com.vn,Vũ Thị Thu Nga,02862809399,0313468156,Bộ nong Amplatz bao gồm vỏ dùng cho PCNL
CÔNG TY TNHH Y TẾ ALFRESA CODUPHA VIỆT NAM,,"Số 509-515, đường Tô Hiến Thành, Phường 14, Quận 10, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,alcopha.otst@gmail.com,FUJIMAKI SHINGO,02838663862,0312543611,Thiết bị chữa lành xương bằng phương pháp siêu âm 
CÔNG TY TNHH MEDTRONIC VIỆT NAM,,"Tầng 11, Tháp B, Tòa nhà Royal Center, Số 235 Nguyễn Văn Cừ, Phường Nguyễn Cư Trinh, Quận 1, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,rs.vnqra@medtronic.com,Paul Cornelis Verhulst,84 283 926 2000,0313651200,Bộ dụng cụ đổ xi măng cột sống cỡ số 3 với súng đưa xi măng vào thân đốt sống
CÔNG TY TNHH DK MEDICA,,"34/20 Lữ Gia, Cư xá Lữ Gia, Phường 15, Quận 11, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,dkmedica@hotmail.com,KIM CHEOL,02877779678,0313998097,BỘ DỤNG CỤ BƠM XI MĂNG TẠO HÌNH THÂN ĐỐT SỐNG
CÔNG TY TNHH DK MEDICA,,"34/20 Lữ Gia, Cư xá Lữ Gia, Phường 15, Quận 11, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,dkmedica@hotmail.com,KIM CHEOL,02877779678,0313998097,Đầu đốt điện dùng một lần
CÔNG TY TNHH MEDTRONIC VIỆT NAM,,"Tầng 11, Tháp B, Tòa nhà Royal Center, Số 235 Nguyễn Văn Cừ, Phường Nguyễn Cư Trinh, Quận 1, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,rs.vnqra@medtronic.com,Paul Cornelis Verhulst,84 283 926 2000,0313651200,Bộ dụng cụ đổ xi măng cột sống cỡ số 2 với súng đưa xi măng vào thân đốt sống
CÔNG TY TNHH TM DVKT XNK HUY HOÀNG,,"197/15 Nguyễn Thị Nhỏ, Phường 09, Quận Tân Bình, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,hoanglth@huyhoangmedical.com.vn,Trương Thanh Dũng,0909980260,0312572806,Hóa chất dùng cho máy phân tích huyết học
CÔNG TY TNHH KỸ THUẬT Y TẾ VINH HIỂN ĐẠT,,"38/97C Lãnh Binh Thăng, Phường 13, Quận 11, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,thuynt3003@gmail.com,Lâm Đại Hào,0903626365,0315813432,Hóa chất sử dụng cho máy phân tích huyết học
CÔNG TY TNHH GIẢI PHÁP NHA KHOA THÔNG MINH VIỆT NAM,,"305/6B Nguyễn Trọng Tuyển, Phường 10, Quận Phú Nhuận, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,vinasds@gmail.com,THÂN VĂN MẠNH,0938344591,0313518488,Tay khoan nha khoa
CÔNG TY TNHH DƯỢC THÁI BÌNH,,"L23/LK1 Khu đô thị DAMSAN, Tổ 2, Xã Phú Xuân, Thái Bình, Tỉnh Thái Bình",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,tbpharco@gmail.com,Vũ Duy Công,0914567616,1001268033,Dung dịch nhỏ mắt
CÔNG TY TNHH DƯỢC THÁI BÌNH,,"L23/LK1 Khu đô thị DAMSAN, Tổ 2, Xã Phú Xuân, Thái Bình, Tỉnh Thái Bình",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,tbpharco@gmail.com,Vũ Duy Công,0914567616,1001268033,Gói hỗn dịch pukids
CÔNG TY TNHH DƯỢC THÁI BÌNH,,"L23/LK1 Khu đô thị DAMSAN, Tổ 2, Xã Phú Xuân, Thái Bình, Tỉnh Thái Bình",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,tbpharco@gmail.com,Vũ Duy Công,0914567616,1001268033,Gói hỗn dịch 
CÔNG TY CỔ PHẦN ĐẦU TƯ TUẤN NGỌC MINH,,"Số 30 đường Trần Quang Khải, Phường Lộc Thọ, Nha Trang, Tỉnh Khánh Hòa",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,Info@tuanngocminh.com,Phạm Hồng Nghĩa,38433410,0103086880,Mũi khoan đường hầm nội soi
CÔNG TY TNHH CÔNG NGHỆ QUỐC TẾ PHÚ MỸ,,"K1A Bửu Long, Phường 15, Quận 10, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,phumyitc@gmail.com,Lê Hữu Tri,0862853388,0309324289,"Test hỗ trợ chẩn đoán khối u, ung thư"
CÔNG TY TNHH THƯƠNG MẠI AN PHÚ KHANG,,"Số nhà 79A, Đường Nguyễn Văn Năng, Tổ 10, Phường Trần Lãm, Thái Bình, Tỉnh Thái Bình",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,anphukhang2021@gmail.com,NGÔ THỊ HẰNG,0974427022,1001232647,Que thử xét nghiệm định tính LH/ Bút thử xét nghiệm định tính LH
CÔNG TY TNHH TRANG THIẾT BỊ Y TẾ VÀ KÍNH MẮT SÀI GÒN,,"12/71/12 Đường Đông Thạnh 8, tổ 17, Ấp 5, Xã Đông Thạnh, Huyện Hóc Môn, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,hanh.phan@thientruongcorp.com,ĐINH THỊ KIM NGÂN,0915795085,0316827685,Thiết bị đo khúc xạ mắt
CÔNG TY TNHH CÔNG NGHỆ QUỐC TẾ PHÚ MỸ,,"K1A Bửu Long, Phường 15, Quận 10, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,phumyitc@gmail.com,Lê Hữu Tri,0862853388,0309324289,Que thử nước tiểu
CÔNG TY TNHH CÔNG NGHỆ QUỐC TẾ PHÚ MỸ,,"K1A Bửu Long, Phường 15, Quận 10, Thành phố Hồ Chí Minh",,,Công bố tiêu chuẩn áp dụng đối với trang thiết bị y tế loại B,phumyitc@gmail.com,Lê Hữu Tri,0862853388,0309324289,Test hỗ trợ chẩn đoán nội tiết - hormone
