address,link_face,link_twitter,listed_in,name,phone,url,web
"23023 Outer Drive, Allen Park, MI 48101",https://facebook.com/MassageGreenCorporate,,MICHIGAN,Massage Green Spa – Allen Park,(313) 436-1755,https://www.spaindex.com/listings/massage-green-spa-allen-park/,https://spaindex.link/MassageGreenSpas
"36740 Garfield Road, Clinton Township MI 48035",https://facebook.com/MassageGreenCorporate,,MICHIGAN,Massage Green Spa – Clinton,(586) 846-4981,https://www.spaindex.com/listings/massage-green-spa-clinton/,https://spaindex.link/MassageGreenSpas
"665 S Adams Road, Birmingham, MI 48009",https://facebook.com/MassageGreenCorporate,,MICHIGAN,Massage Green Spa – Birmingham,(248) 723-9090,https://www.spaindex.com/listings/massage-green-spa-birmingham/,https://spaindex.link/MassageGreenSpas
"23624 Michigan Ave., Dearborn, MI 48124",https://facebook.com/MassageGreenCorporate,,MICHIGAN,Massage Green Spa – Dearborn,(313) 278-2200,https://www.spaindex.com/listings/massage-green-spa-dearborn/,https://spaindex.link/MassageGreenSpas
"8377 W Grand River Ave., Brighton, MI 48116",https://facebook.com/MassageGreenCorporate,,MICHIGAN,Massage Green Spa – Brighton,(810) 229-9095,https://www.spaindex.com/listings/massage-green-spa-brighton/,https://spaindex.link/MassageGreenSpas
"664 St. Clair Street, Grosse Pointe, MI 48230",https://facebook.com/MassageGreenCorporate,,MICHIGAN,Massage Green Spa – Grosse Pointe,(313) 438-5050,https://www.spaindex.com/listings/massage-green-spa-grosse-pointe/,https://spaindex.link/MassageGreenSpas
"204 East Nepessing Street, Lapeer, MI 48446",https://facebook.com/MassageGreenCorporate,,MICHIGAN,Massage Green Spa – Lapeer,810-356-4646,https://www.spaindex.com/listings/massage-green-spa-lapeer/,https://spaindex.link/MassageGreenSpas
"4412 Stadium Drive, Kalamazoo, MI 49008",https://facebook.com/MassageGreenCorporate,,MICHIGAN,Massage Green Spa – Kalamazoo,(269) 544-1400,https://www.spaindex.com/listings/massage-green-spa-kalamazoo/,https://spaindex.link/MassageGreenSpas
"29466 West Seven Mile, Livonia, MI 48152",https://facebook.com/MassageGreenCorporate,,MICHIGAN,Massage Green Spa – Livonia,(248) 987-7334,https://www.spaindex.com/listings/massage-green-spa-livonia/,https://spaindex.link/MassageGreenSpas
"47460 Grand River, Novi, Mi 48374",https://facebook.com/MassageGreenCorporate,,MICHIGAN,Massage Green Spa – Novi,(248) 305-9295,https://www.spaindex.com/listings/massage-green-spa-novi/,https://spaindex.link/MassageGreenSpas
"55262 Van Dyke Rd, Shelby Township, MI 48316 ",https://facebook.com/MassageGreenCorporate,,MICHIGAN,Massage Green Spa – Shelby,(586) 580-0123,https://www.spaindex.com/listings/massage-green-spa-shelby/,https://spaindex.link/MassageGreenSpas
"35728 Van Dyke Rd., Sterling Heights, MI 48312",https://facebook.com/MassageGreenCorporate,,MICHIGAN,Massage Green Spa – Sterling Heights,(586) 883-6483,https://www.spaindex.com/listings/massage-green-spa-sterling-heights/,https://spaindex.link/MassageGreenSpas
"21920 Greater Mack Avenue, St Clair Shores, MI 48080",https://facebook.com/MassageGreenCorporate,,MICHIGAN,Massage Green Spa – St Clair Shores,(586) 777-7030,https://www.spaindex.com/listings/massage-green-spa-st-clair-shores/,https://spaindex.link/MassageGreenSpas
"748 W Big Beaver Rd, Troy, MI 48084",https://facebook.com/MassageGreenCorporate,,"MICHIGAN, Stretch Smart website",Massage Green Spa – Troy,(248) 817-2489,https://www.spaindex.com/listings/massage-green-spa-troy/,https://spaindex.link/MassageGreenSpas
" 707 Paseo de Peralta, Santa Fe, NM  87501 ",https://facebook.com/ultiSkinAestheticsByUltiMED,https://twitter.com/UltiSkin,NEW MEXICO,ultiSkin Aesthetics by ultMED™ – Santa Fe,505-995-8584 ,https://www.spaindex.com/listings/ultiskin-santa-fe/,https://ultiskin.com/
"19420 West Road, Woodhaven, MI 48183",https://facebook.com/MassageGreenCorporate,,MICHIGAN,Massage Green Spa – Woodhaven,(734) 203-7000,https://www.spaindex.com/listings/massage-green-spa-woodhaven/,https://spaindex.link/MassageGreenSpas
"  5134 Highland Road, Waterford Township, MI 48327",https://facebook.com/MassageGreenCorporate,,MICHIGAN,Massage Green Spa – Waterford Township,(248) 724-2670,https://www.spaindex.com/listings/massage-green-spa-waterford/,https://spaindex.link/MassageGreenSpas
"1153 Wilbur Avenue, Somerset, MA 05725",https://facebook.com/glowhairskinandharmony,,MASSACHUSETTS,Glow Hair Skin and Harmony – Somerset,508-679-0098,https://www.spaindex.com/listings/glow-salon-spa-somerset/,www.glowhairskinandharmony.com
"55 Sage Lodge Drive, Pray, MT 59065",https://facebook.com/sagelodgemt,https://twitter.com/sagelodge,MONTANA,Sage Lodge – Paradise Valley,855-400-0505,https://www.spaindex.com/listings/sage-lodge-montana/,https://www.sagelodge.com/?SpaIndex.com
"15 W. 7th Street, Frederick, MD 21702, USA",https://facebook.com/verbenasalonspa,,MARYLAND,Verbena Day Spa – Frederick,240-575-5333,https://www.spaindex.com/listings/verbena-day-spa/,https://www.verbenasalonspa.com/
"201 East Broadway Street, Excelsior Springs, MO 64024, USA",,,MISSOURI,Hall of Waters and Cultural Museum – Excelsior Springs,,https://www.spaindex.com/listings/hall-of-waters-and-cultural-museum-excelsior-springs/,https://cityofesmo.com/index.php/hall-of-waters/
"20 N Tarragona Street Pensacola, Florida 32502",https://facebook.com/stillwatersdayandmedicalspa,,FLORIDA,Still Waters Day & Medical Spa – Pensacola,850-432-6772,https://www.spaindex.com/listings/still-waters-day-medical-spa/,https://stillwatersmedspa.com/
"511 CONGRESS STREET, PORTLAND, ME 04101",https://facebook.com/therealsoakology,https://twitter.com/realsoakology,MAINE,Soakology – Portland,207-879-7625,https://www.spaindex.com/listings/soakology-maine/,www.soakology.com
"240 S Jefferson St, Pensacola, FL 32502",https://facebook.com/staythespa,,FLORIDA,Stay the Spa – Pensacola,850-438-3580,https://www.spaindex.com/listings/stay-spa-pensacola/,https://www.staythespa.com/
"213 East Palmetto Park Road, Boca Raton, FL 33432, USA",https://facebook.com/EdenDaySpaBoca,https://twitter.com/edendayspa,FLORIDA,Eden Day Spa – Boca Raton,561-447-7700,https://www.spaindex.com/listings/eden-day-spa-boca-raton-fla/,https://www.edendayspa.net/
"940 E. 3rd Street, Casper, WY 82601",https://facebook.com/rejuvenateyou307,,WYOMING,Rejuvenate You Medical Spa – Casper,307-333-5056,https://www.spaindex.com/listings/rejuvenate-you-medical-spa-casper/,rejuvenateyou307.com/
"9 Sanchez Avenue, St. Augustine, FL 32084, USA",https://facebook.com/sidayspa,https://twitter.com/SIdayspa,FLORIDA,Small Indulgences Day Spa Salon – St Augustine,904-824-6220,https://www.spaindex.com/listings/small-indulgences-day-spa-salon-fla/,www.smallindulgencesdayspa.com
"1110 Pinellas Bayway South #213, Tierra Verde, FL 33715, USA",https://facebook.com/lemontreespa,,FLORIDA,Lemon Tree Spa – Tierra Verde – Tampa,727-329-8977,https://www.spaindex.com/listings/lemon-tree-spa-tierra-verde-florida/,www.lemontreespa.com/
"1201 E. State Hwy 114, Suite 130, Southlake TX 76051",https://facebook.com/thegentsplace,https://twitter.com/thegentsplace,TEXAS,The Gents Place – Southlake, ,https://www.spaindex.com/listings/the-gents-place-southlake/,www.thegentsplace.com
"6975 Lebanon Road, Frisco, TX 75034, USA",https://facebook.com/thegentsplace,https://twitter.com/thegentsplace,TEXAS,The Gents Place – Frisco,469-579-4417,https://www.spaindex.com/listings/the-gents-place-frisco/,www.thegentsplace.com
"3227 McKinney Avenue, Dallas, Texas, 75204",https://facebook.com/thegentsplace,https://twitter.com/thegentsplace,TEXAS,The Gents Place – Dallas,214-307-5210,https://www.spaindex.com/listings/the-gents-place-preston-hollow/,www.thegentsplace.com
"6950 Lebanon Rd Suite 105 Frisco, TX 75034",https://facebook.com/starwoodmedspallc,https://twitter.com/starwoodmedspa,TEXAS,Starwood Med Spa – Frisco,(214) 705-0400,https://www.spaindex.com/listings/starwood-med-spa/,www.starwoodmedspa.com/
"7395 Gulf Boulevard #1, St. Pete Beach, FL 33706, USA",https://facebook.com/lemontreespa,,FLORIDA,Lemon Tree Spa – St Pete Beach – Tampa,727-363-0772,https://www.spaindex.com/listings/lemon-tree-spa-st-pete-florida/,www.lemontreespa.com/
"2915 Hamilton Blvd., Sioux City, IA 51101",https://facebook.com/BelleSalonSpaSiouxCity,,IOWA,Belle Salon & Spa – Sioux City Marketplace,712-234-1610,https://www.spaindex.com/listings/belle-salon-spa-marketplace/,bellesalonspa.com
"5001 Sergeant Road, Sioux City, IA 51106",https://facebook.com/BelleSalonSpaSiouxCity,,IOWA,Belle Salon & Spa – Lakeport Commons,712-560-7377,https://www.spaindex.com/listings/belle-salon-spa-lakeport-commons/,bellesalonspa.com/
"3490 Northdale Boulevard Coon Rapids, MN 55448",https://facebook.com/Simonsons,https://twitter.com/simonsonstweets,MINNESOTA,Simonson’s Salon & Spa – Coon Rapids,763-427-0761 ,https://www.spaindex.com/listings/simonsons-salon-day-spa-coon-rapids/,www.simonsons.com
"2855 Glacier Lane, Plymouth, MN 55447",https://facebook.com/Simonsons,https://twitter.com/simonsonstweets,MINNESOTA,Simonson’s Salon & Day Spa – Plymouth,763-550-1121,https://www.spaindex.com/listings/simonsons-salon-day-spa-plymouth/,www.simonsons.com/
"1001 W. 1st Street Sulphur, OK 73086",https://facebook.com/TheArtesian,https://twitter.com/ArtesianHotel,OKLAHOMA,Artesian Hotel Casino and Spa – Sulphur,,https://www.spaindex.com/listings/artesian-hotel-casino-spa/,artesianhotel.com/
"605 Beaver Street Sewickley, PA 15143",https://facebook.com/juditdayspa,,PENNSYLVANIA,Judit European Day Spa – Sewickley,(412) 904-3223,https://www.spaindex.com/listings/judit-european-day-spa-sewickley/,juditdayspa.com
"610 Silverstone Rd, Lafayette, LA 70508",https://facebook.com/Riverspa,,LOUISIANA,Riverspa at CityClub – Lafayette,337-216-6511,https://www.spaindex.com/listings/riverspa-at-cityclub-lafayette/,https://www.riverspariverranch.com/
" 591 E Lancaster Avenue, St. Davids, PA 19087",https://facebook.com/RadnorHotel,https://twitter.com/RadnorHotel,PENNSYLVANIA,The Radnor Hotel & Spa – St Davids,Hotel 610-688-5800  | Spa 484-580-9063,https://www.spaindex.com/listings/radnor-hotel-pa/,https://radnorhotel.com/?SpaIndex.com
"770 S Main St, Canandaigua , New York 14424",https://facebook.com/lakehousecdga,,"NEW YORK, New York State",The Lake House on Canandaigua – Finger Lakes,585-394-7800,https://www.spaindex.com/listings/lake-house-canandaigua/,https://lakehousecanandaigua.com
"112 East Main Street, Trumansburg, NY 14886",https://facebook.com/GothicEves,,"NEW YORK, New York State",Inn and Spa at Gothic Eves – Ithaca,607-258-6739,https://www.spaindex.com/listings/gothic-eves-ithaca/,https://gothiceves.com/
"13950 Grove Drive Osseo, MN 55311",https://facebook.com/Simonsons,https://twitter.com/simonsonstweets,MINNESOTA,Simonson’s Salon & Spa – Maple Grove,(763) 494-4863,https://www.spaindex.com/listings/simonsons-salon-day-spa-maple-grove/,www.simonsons.com/
"31 Old Solomons Island Road, Suite 101  Annapolis, MD 21401",https://facebook.com/evenkeelspa,,MARYLAND,Even Keel Wellness Spa – Annapolis,410-990-0111,https://www.spaindex.com/listings/even-keel-wellness-spa-annapolis/,https://evenkeelspa.com/
"525 North Cache Street, Jackson, WY 83001, USA",https://facebook.com/RusticInnAtJacksonHole,https://twitter.com/RusticInnAtJH,WYOMING,Rustic Inn Creekside Resort & Spa – Jackson,800-323-9279,https://www.spaindex.com/listings/rustic-inn-creekside-jackson/,www.rusticinnatjh.com
"1600 Disneyland Drive, Anaheim, CA 92802, USA",https://facebook.com/DisneysGrandCalifornianHotelandSpa,https://twitter.com/Disneyland,"CALIFORNIA, Southern California",Disney’s Grand Californian Hotel® & Spa,,https://www.spaindex.com/listings/disney-grand-californian-hotel-spa/,disneyland.disney.go.com/hotels/grand-californian-hotel/
"6380 Silverado Trail, Stags Leap District, Napa, CA 95668",https://facebook.com/PoetryInnNapa,https://twitter.com/poetryinnnapa,"CALIFORNIA, Northern California",The Poetry Inn – Napa,707-944-0646,https://www.spaindex.com/listings/poetry-inn-napa/,https://spaindex.link/PoetryInnNapa
"1401 South Oak Knoll Avenue, Pasadena, California 91106, USA",https://facebook.com/LanghamPasadena,https://twitter.com/LanghamPasadena,"CALIFORNIA, Southern California",The Langham Huntington – Pasadena,626-568-3900,https://www.spaindex.com/listings/langham-huntington-pasadena/,https://spaindex.link/LanghamPasadena
"333 West Colorado Avenue, Telluride, CO 81435",https://facebook.com/purebeautytelluride,,COLORADO,Pure Beauty & Wellness Spa – Telluride,970 239 6144,https://www.spaindex.com/listings/pure-beauty-wellness-spa-telluride/,https://spaindex.link/PureBeautyTelluride
"270 Northgate One Drive, San Rafael, CA 94903",https://facebook.com/handandstoneusa,https://twitter.com/HandAndStoneUSA,"CALIFORNIA, Northern California",Hand & Stone – San Rafael,415-499-9600,https://www.spaindex.com/listings/hand-stone-san-rafael/,https://spaindex.link/HandStoneSpa
"380 Foam Street, Monterey, CA 93940, USA",https://facebook.com/MontereyDaySpa,https://twitter.com/MontereyDaySpa,"CALIFORNIA, Central California",Monterey Day Spa,831-373-2273,https://www.spaindex.com/listings/monterey-day-spa/,www.montereydayspa.com
"3950 University Drive, Fairfax, VA 22030",https://facebook.com/MassageGreenCorporate,,VIRGINIA,Massage Green Spa – Fairfax,(703) 659-8330,https://www.spaindex.com/listings/massage-green-spa-fairfax/,https://spaindex.link/MassageGreenSpas
"142 Second Street, Lewes, DE 19958",https://twitter.com/OceanRetreatDE,,DELAWARE,Exhale Spa – Lewes,302-278-8675,https://www.spaindex.com/listings/exhale-spa-lewes/,exhalespastudio.com
"102 Church Street, Burlington, VT 05401, USA",https://facebook.com/CyntheaSpa,https://twitter.com/cyntheaspa,VERMONT,Cynthea’s Spa – Burlington,802-238-7524,https://www.spaindex.com/listings/cyntheas-spa-burlington/,www.cyntheaspa.com
"530 West 500 South, Bountiful, UT 84010",https://facebook.com/handandstoneusa,https://twitter.com/HandAndStoneUSA,UTAH,Hand & Stone – Bountiful,801-833-0663,https://www.spaindex.com/listings/hand-stone-bountiful/,https://spaindex.link/HandStoneSpa
"9004 West 10th Street, Indianapolis, IN 46234, USA",https://facebook.com/tylermasonsalonspa,https://twitter.com/TylerMasonSalon,INDIANA,Tyler Mason Salon Spa – Indianapolis,317-271-3330,https://www.spaindex.com/listings/tyler-mason-salon-spa-indy/,https://tylermason.com/
"2925 South Alma School Road, Chandler, AZ 85286",https://facebook.com/handandstoneusa,https://twitter.com/HandAndStoneUSA,ARIZONA,Hand & Stone – Chandler,480-665-5600,https://www.spaindex.com/listings/hand-stone-chandler/,https://spaindex.link/HandStoneSpa
"909 West Main Street Abingdon, VA 24210 US",https://facebook.com/thepolisheddiamond,,VIRGINIA,The Polished Diamond – Abingdon,276-739-0000,https://www.spaindex.com/listings/polished-diamond-abingdon/,https://thepolisheddiamond.com/
"14235 Potomac Mills Rd, Woodbridge, VA 22192",https://facebook.com/MassageGreenCorporate,,VIRGINIA,Massage Green Spa – Woodbridge,(703) 595-2555,https://www.spaindex.com/listings/massage-green-spa-woodbridge/,https://spaindex.link/MassageGreenSpas
"1551 21st Avenue North, Myrtle Beach, SC 29577, USA",https://facebook.com/Day.Spa.Myrtle.Beach,https://twitter.com/CelestialDaySpa,SOUTH CAROLINA,Celestial Spa on Cloud 9 – Myrtle Beach,843-997-7440,https://www.spaindex.com/listings/celestial-spa-on-cloud-9/,celestialspaoncloud9.com/
"314 Hunter Ridge Dr Brian Head, UT 84719",https://facebook.com/Noorish.healing,https://twitter.com/solitudemtn,UTAH,Best Western Premier Hotel & Spa – Brian Head,801-534-1400,https://www.spaindex.com/listings/best-western-brian-head-utah/,www.bwpbrianheadhotel.com/
"1441 York Street, Denver, CO 80206, USA",https://facebook.com/IzbaSpaDenver,,COLORADO,Izba Spa – Denver,303-321-1239,https://www.spaindex.com/listings/izba-spa-denver-co/,www.izbaspa.com
"4750 N Federal Hwy #302, Fort Lauderdale, FL 33308",https://facebook.com/juvlyaesthetics,https://twitter.com/JuvlyAesthetics,FLORIDA,Juvly Aesthetics Med Spa – Fort Lauderdale, 800-254-0188,https://www.spaindex.com/listings/juvly-aesthetics-ft-lauderdale/,https://spaindex.link/JuvlyAesthetics
"281 Centennial Street Glenwood Springs, CO 81601",https://facebook.com/IronMountainHotSprings,https://twitter.com/IronMtnHotSprgs,COLORADO,Iron Mountain Hot Springs – Glenwood Springs,970-945-4766,https://www.spaindex.com/listings/iron-mountain-hot-springs/,https://spaindex.link/IronMountain
"1601 South Eucalyptus Avenue, Broken Arrow, OK 74012, USA",https://facebook.com/BerkshireSalonDaySpa,,OKLAHOMA,Berkshire Salon & Day Spa – Broken Arrow,918-307-2566 ,https://www.spaindex.com/listings/berkshire-salon-day-spa-broken-arrow/,www.berkshiresalondayspa.com/
"4214 N. Classen Blvd, Oklahoma City, OK 73118",https://facebook.com/Mariposamedspa,,OKLAHOMA,Mariposa Aesthetics and Laser Center – Oklahoma City,405-759-7546,https://www.spaindex.com/listings/mariposa-aesthetics-oklahoma-city/,mariposamedspaokc.com/
"555 South Main Street, Salt Lake City, UT 84111, USA",https://facebook.com/grandamerica,https://twitter.com/GrandAmerica,UTAH,Grand America Hotel and Spa – SLC,,https://www.spaindex.com/listings/grand-america-hotel-and-spa/,https://www.grandamerica.com/
"2995 Horizon Road, Rockwall, TX 75032, USA",https://facebook.com/Belfioresalon,https://twitter.com/belfiorespa,TEXAS,Belfiore Salon & Day Spa – Rockwall – Dallas,972-771-8411 ,https://www.spaindex.com/listings/belfiore-salon-day-spa-rockwall/,belfiorespa.com
